Ntrain	Dimsum2	SP2	Dimsum5	SP5	Dimsum10	SP10	Dimsum15	SP15	Dimsum20	SP20	Dimsum25	SP25	Smooth2	Smooth5	Smooth10	Smooth15	Smooth20	Smooth25
1	3.76798129	0.3706	5.092281015	0.62	6.091840423	0.5258	13.16476583	0.6006	13.61256937	0.7224	27.79832774	0.9814	1	1	1	1	1	1
2	3.780915418	0.0028	4.631978174	0.001	6.154389428	0.4402	12.65347379	0.5138	12.85317389	0.3914	28.4328145	0.519	1	1	1	1	1	1
3	3.861245908	0.0058	4.511810963	0.1774	5.930055014	0.0314	12.1092773	0.091	11.7130403	0.671	28.53800098	0.003	1	1	1	1	1	1
4	3.8583287	0.001	4.498279754	0.0002	5.797531113	0.0222	11.02626479	0.629	11.39794641	0.0064	28.97397609	0.2818	1	1	1	1	1	1
5	3.89937586	0.002	4.47776409	0.0002	5.643570047	0.0004	9.435944926	0.6548	10.44886337	0.5442	29.1828009	0	1	1	1	1	1	1
6	3.890570588	0.0018	3.264856184	0.6534	5.487058148	0.0838	8.954727502	0.156	10.13871274	0.3782	6.559744511	0.9044	0.064	0.242033333	0.183966667	0.440866667	0.452266667	0.448266667
7	3.886353655	0.0006	3.242457045	0	4.87465125	0.3712	8.877379178	0	10.042513	0.1364	6.525059818	0.0236	0.002333333	0.1387	0.1582	0.340766667	0.3546	0.288633333
8	3.883347448	0	3.152482087	0.012	5.18150689	0.2314	8.623995896	0.1376	9.648215314	0.0622	6.508848448	0.001	0.001866667	0.140533333	0.1234	0.278066667	0.299733333	0.2023
9	2.617871621	0.5876	3.135466539	0.0002	4.70770263	0.1466	8.539774338	0.0006	9.46965504	0	6.466348652	0.0026	0.098833333	0.111	0.1426	0.263	0.1879	0.202233333
10	2.619705126	0	3.099801052	0.002	4.529886957	0.1262	8.179263322	0.3718	8.973052104	0.3614	6.341959354	0.021	0.098666667	0.1113	0.159933333	0.220133333	0.247066667	0.158766667
11	2.60264727	0	3.108869353	0.0002	4.476540161	0.0012	8.075592314	0.0002	8.787254011	0.1142	6.261281615	0	0.098333333	0.1113	0.160066667	0.111033333	0.1754	0.158766667
12	2.580449056	0.0002	3.113513587	0	4.503965945	0.0084	7.853658455	0.0884	8.506659967	0.0916	6.149772553	0.0008	0.098066667	0.0024	0.1475	0.099766667	0.127633333	0.008166667
13	2.568390438	0.0022	3.102916882	0	4.476388165	0	7.752990605	0.0208	8.367222004	0.0552	6.157557405	0.0006	0.098333333	0.0024	0.085633333	0.103233333	0.1141	0.004333333
14	2.558779867	0.0008	3.070373561	0	4.441078526	0	7.662053681	0.041	8.260606713	0.0454	6.075497469	0.005	0.098466667	0.0004	0.047066667	0.087133333	0.1113	0.005
15	2.554748736	0.002	3.019865753	0.0014	4.392753661	0	7.454368791	0.3406	8.177005128	0.0004	6.096121663	0.06	0.000866667	0.0006	0.022633333	0.1438	0.111366667	0.014566667
16	2.538951019	0.0004	3.024627588	0.001	4.371110747	0	7.34950726	0.0058	7.975018129	0.095	6.01318216	0.117	0.000933333	0.000433333	0.0016	0.0828	0.066966667	0.030566667
17	2.536831877	0	2.962662416	0.001	4.383749739	0.0016	7.352227935	0.376	7.921088817	0	5.988739336	0	0.000933333	0.000566667	0.001666667	0.145433333	0.047933333	0.030566667
18	2.529752754	0	2.887564362	0.003	4.311730641	0	7.014838386	0.2496	7.772962141	0.0796	5.953304194	0.0008	0.0009	0.001066667	0.000266667	0.1723	0.045933333	0.030566667
19	2.509858792	0.0008	2.891190185	0.0008	4.084931815	0.2574	6.774679129	0.0456	7.764807653	0	5.733301918	0.1326	0.000666667	0.0012	0.043166667	0.176433333	0.036733333	0.052566667
20	2.507521187	0	2.856058897	0.0028	3.948099504	0.0022	6.48528389	0.0252	6.420664797	0.6224	5.53329201	0.1508	0.000533333	0.001666667	0.043533333	0.1738	0.1329	0.076866667
21	2.493971188	0.0002	2.861970661	0.0016	3.924245818	0	6.494223157	0.0054	6.238783907	0.0074	4.844875499	0.4752	0.000233333	0.0017	0.043533333	0.117933333	0.134066667	0.146066667
22	2.489512275	0.0002	2.853369274	0	3.901410725	0	6.485424351	0.005	6.217843207	0.0002	4.778007086	0.0022	0.0002	0.001533333	0.043533333	0.1178	0.118266667	0.126933333
23	2.488040933	0	2.863647287	0	3.895444593	0.0012	6.502114544	0.0002	6.336605095	0.056	4.614440518	0.0272	0.0002	0.001366667	0.043466667	0.055166667	0.1276	0.131466667
24	2.479648299	0	2.7956008	0.0016	3.883395514	0.0002	6.323804858	0.0074	6.362102849	0.0052	4.583015339	0	0.0002	0.001133333	0.0435	0.0148	0.1152	0.131333333
25	2.368296831	0.3468	2.785392964	0	3.708965799	0.0792	5.577043306	0.5966	5.956491629	0.1298	4.430829636	0.075	0.057866667	0.001	0.0138	0.106633333	0.136833333	0.121733333
26	2.370165014	0.0094	2.776026207	0.0002	3.688365791	0	5.523587728	0	5.907273995	0	4.410204619	0	0.059433333	0.000566667	0.013433333	0.102433333	0.0331	0.0966
27	2.363760431	0.0002	2.800318133	0.001	3.544771026	0.0504	5.462329157	0.1056	5.962569468	0.1722	4.381511003	0	0.059433333	0.000466667	0.021833333	0.119133333	0.060566667	0.0174
28	2.353771039	0.0002	2.792069859	0.0002	3.542936786	0.0004	5.427178488	0.0004	5.923124734	0.0002	4.286897109	0.1324	0.059433333	0.0005	0.0219	0.118366667	0.060566667	0.0391
