Ntrain	Dimsum2	SP2	Dimsum5	SP5	Dimsum10	SP10	Dimsum15	SP15	Dimsum20	SP20	Dimsum25	SP25	Smooth2	Smooth5	Smooth10	Smooth15	Smooth20	Smooth25
33	2.327028736	0.0014	2.831737663	0.04	3.424169803	0	4.953214384	0.0626	5.675780454	0.073	4.172943827	0.068	0.010433333	0.080466667	0.0036	0.169466667	0.167333333	0.142333333
34	2.33416047	0.001	2.839558407	0	3.299767806	0.3264	4.925096939	0	5.658609558	0	4.171776332	0.0002	0.0105	0.0804	0.056466667	0.1688	0.166866667	0.0732
35	2.327058736	0	2.843636278	0.0004	3.378223973	0.2616	4.914211543	0.0562	5.564040192	0.088	4.158637198	0.0914	0.010366667	0.0804	0.100066667	0.1288	0.1815	0.0766
36	2.315634548	0.0002	2.847371497	0.0006	3.3769424	0.0016	4.927683742	0.1512	5.506738339	0.0494	4.163999919	0.0002	0.0015	0.006866667	0.099133333	0.153966667	0.148933333	0.076633333
37	2.308227362	0.0002	2.82300829	0.2402	3.334008514	0.0006	4.819059248	0.2462	5.37093603	0.0506	4.131333181	0.1578	0.001533333	0.0469	0.098366667	0.1398	0.089966667	0.0812
38	2.300540959	0.0004	2.817925573	0.0002	3.23328378	0.1724	4.588208141	0.5828	5.417584278	0.0004	4.110114454	0.0034	0.000533333	0.0469	0.1271	0.183166667	0.043566667	0.0535
39	2.295678058	0.0044	2.811323274	0.0472	3.188717098	0.041	4.577524749	0.0018	5.434411646	0.0012	4.066901129	0.0292	0.001033333	0.0481	0.133933333	0.173033333	0.0316	0.047033333
40	2.290306337	0.0002	2.810761496	0	3.195058538	0.0338	4.399285145	0.2516	5.4788205	0.0006	4.027493357	0.0108	0.0009	0.0481	0.085166667	0.214966667	0.0317	0.0488
41	2.286374554	0.003	2.803476286	0.03	3.192057969	0.0002	4.347109155	0.079	5.41009231	0	3.860087579	0.2366	0.0014	0.053033333	0.0416	0.218766667	0.017033333	0.073
42	2.279759879	0.0016	2.777226607	0.0502	3.118578086	0.042	4.379157718	0.0668	5.239782847	0.463	3.884260241	0.0088	0.001633333	0.0613	0.048333333	0.2047	0.085966667	0.074433333
43	2.277917033	0.004	2.761004004	0	3.122087341	0.0686	4.396420397	0.0066	5.230275628	0.0002	3.846852286	0.143	0.002266667	0.021266667	0.059666667	0.164766667	0.077566667	0.071966667
44	2.267823858	0.0006	2.773993194	0.0002	3.138753112	0.0292	4.388069422	0.132	5.221619863	0.0064	3.79372375	0.0492	0.0023	0.021266667	0.0358	0.089633333	0.078566667	0.0796
45	2.262472838	0	2.775130307	0.0002	3.136115134	0.0412	3.899317542	0.6394	5.145544532	0.1432	3.77387861	0.1976	0.001566667	0.013433333	0.035833333	0.1959	0.102233333	0.107666667
46	2.257003792	0.0016	2.845282538	0.5326	3.127122407	0.0182	3.99450186	0.1758	5.136469958	0	3.744558266	0.0252	0.0018	0.1022	0.033233333	0.183266667	0.102133333	0.110066667
47	2.253137882	0.0006	2.872837657	0.157	3.139222714	0.085	3.936698523	0.0084	5.060555039	0.2308	3.710791874	0.0914	0.0014	0.123366667	0.047366667	0.1715	0.1406	0.085866667
48	2.244284581	0.0004	2.904293193	0.044	3.117574574	0.1044	3.927203281	0.0002	5.071417666	0.0002	3.681264027	0.002	0.0012	0.122333333	0.057766667	0.1604	0.063466667	0.084733333
49	2.238793159	0.0002	2.923685068	0.0004	3.111640066	0	3.953717934	0	5.009511243	0.0066	3.683405141	0.001	0.000566667	0.1224	0.046333333	0.1593	0.064533333	0.061066667
50	2.238055073	0	2.9234725	0.0354	3.112110661	0.2102	3.96069762	0.0636	4.910543608	0.075	3.70685626	0.0652	0.000466667	0.128266667	0.0765	0.1479	0.075966667	0.063733333
51	2.229894102	0.0012	2.898099094	0.0422	3.067694154	0.0684	4.002695766	0.0264	4.880245713	0.0058	3.69853755	0.0002	0.000666667	0.135266667	0.081033333	0.045733333	0.053066667	0.030833333
52	2.217366161	0.0008	2.899721107	0	3.050523724	0.0008	3.842042078	0.5242	4.91485022	0.0004	3.658175759	0.3282	0.000533333	0.0465	0.078133333	0.1038	0.053133333	0.081333333
53	2.202662731	0.0004	2.867412176	0.02	3.006693082	0.0184	3.84369664	0.009	4.792937136	0.1236	3.61295848	0.263	0.0005	0.023666667	0.067033333	0.1039	0.035266667	0.109933333
