Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
1	3.630362097	17.3017258	7.29329365	8.483235027	7.243754373	18.89039527	11.91120381	11.33973941	12.67344092	33.28442664	30.3259087	14.03270933
2	3.626762542	16.10374604	6.19348468	6.089768593	6.318484264	11.01073823	11.56819333	8.436937942	10.89701479	30.95468477	31.43326861	11.89627871
3	3.684895908	15.11891297	6.644160547	5.003554916	6.548384341	8.98490437	11.27064241	6.587233419	8.82797681	30.15946117	31.5677191	11.02249318
4	3.699968023	14.34030563	6.598203211	4.35496204	6.167242254	9.188568664	11.01315457	5.78950304	8.783017072	27.91687901	31.84051559	10.00592478
5	3.693985188	13.77898905	5.249303727	6.198522366	6.002139524	8.668509603	10.28001257	4.879639625	7.871902913	26.70929861	31.57465245	9.982736678
6	3.695415212	13.24225371	5.163129152	5.3320282	5.44443076	8.306321631	8.076610572	6.146424024	7.800162078	25.33824118	31.73485359	9.184525407
7	3.676758099	12.83849608	5.090501718	3.650860181	5.096548854	7.435581201	7.94042074	4.726015595	7.839435565	24.05690837	7.282379249	5.266105942
8	3.676403922	12.40007333	4.991555657	2.857649025	5.131631958	6.853525755	7.756266926	4.689523019	7.891956442	23.04889442	7.036870106	6.833630268
9	3.203679675	11.90497289	4.926205859	2.678762861	5.083038884	6.360800519	7.607025122	4.470167117	7.535232552	22.44601345	7.126906787	7.76448729
10	3.192729444	11.41142159	4.986437025	2.574986439	4.928975893	6.295255287	7.375070236	3.784745201	7.580452711	21.61709971	7.088569109	6.950542261
11	3.130689162	11.03410767	5.002986978	2.29455364	4.911269542	5.553341743	7.267616144	3.378901275	7.62524061	20.88740768	7.050491103	6.244456758
12	3.123698799	10.75864329	4.991549082	2.10663842	4.794288826	5.214718087	7.214706654	3.123600492	7.629468066	20.22353299	6.982668122	5.741736016
13	3.272522707	10.45026457	4.85514313	1.967240589	4.53520152	4.665500972	7.119244421	2.978810529	8.451644136	19.54268528	6.826482433	5.270030506
14	3.287134411	10.22105791	4.657654053	2.566903807	4.512370116	4.268201345	7.073478816	2.788724121	8.860308862	18.99823146	6.78471573	4.916622941
15	3.308670853	10.06301652	5.133842386	2.363816548	4.303807051	4.372340422	7.011623383	2.761784699	8.164145955	18.34913726	6.795223029	4.655701373
16	3.297984471	9.816675505	5.143818424	2.239920192	4.154872201	3.993911703	6.754027939	3.612120153	8.885894863	17.83056311	6.762289759	4.496221328
17	3.296603295	9.638259981	5.157793372	2.13570059	4.196226382	3.779432963	6.71248649	3.503736011	9.371069842	17.45487962	6.661596663	4.349673273
18	3.29223603	9.438837763	5.3527367	2.152299233	4.12292198	3.674556131	6.624201839	3.044734462	9.737953774	17.08421558	6.58174785	4.113825794
19	3.290269361	9.224011269	5.225956291	2.153521938	4.098962894	3.508292146	6.516310196	2.855819706	9.373506975	16.72363685	6.51979136	4.022462173
20	3.408350137	9.05320958	5.218837687	2.067405245	4.027337791	3.362345378	6.510178522	2.77039113	8.384933265	16.71363926	6.481221597	3.898881163
21	3.403437247	8.881488992	5.210378162	2.029599405	2.880375508	3.320196769	6.065917773	2.787436629	8.370727688	16.3299988	6.438199591	3.762518468
22	3.398206602	8.729693436	5.179748789	1.979809052	2.834456925	2.839259802	6.008240091	2.652695947	8.451363918	16.10170383	6.32322803	3.788220989
23	3.391138402	8.578645672	5.403601537	2.023056254	2.777188219	2.819074911	6.063519756	2.721650458	8.462421553	15.83094866	6.145425823	3.672066474
24	3.388116958	8.545784339	5.362726821	2.068191454	2.769432199	2.475932064	5.920527206	2.744908635	8.404506569	15.50112059	6.137893049	3.601271229
25	3.385780554	8.407582885	5.022659063	2.005225612	2.991951738	2.495163987	5.757811088	2.760504059	7.770709334	15.27850905	6.116066177	2.943943817
26	3.383041829	8.255920915	5.171029397	1.94591621	3.000227757	2.421742467	5.741571076	2.697288536	7.894839894	14.97174932	6.061621852	3.316154362
27	3.411872804	8.154190731	4.948796761	1.891385171	2.975489396	2.465857634	5.535055188	2.518608938	6.995390821	14.66033504	5.77496738	3.449700359
28	3.406457832	8.039767812	5.075613037	1.843726057	2.953279715	2.368411742	5.503767046	2.416234561	6.90038032	14.43607218	5.639589149	3.502398746
29	3.40143807	7.945391592	5.075568663	1.797671001	2.977635108	2.407666328	5.107816325	2.54122661	6.352939737	14.02210749	5.586011598	3.355464629
30	3.404032599	7.884686077	4.864649321	1.760258902	2.962006376	2.313720293	5.067602837	2.490500623	6.346375942	13.81417713	5.460529588	3.266731259
31	3.415159843	7.79750368	4.840030876	1.71471504	2.940110155	2.24341014	4.717127324	2.389831131	6.354396553	13.61446941	5.447372901	3.071777483
32	3.256902007	7.713270084	4.817741773	1.718261697	2.904172437	1.96626151	4.650855129	2.403618308	6.126539633	13.493713	5.405972858	3.036172933
33	3.297779928	7.577141813	4.810427452	1.686194004	2.888777096	1.875605111	4.671075184	2.321550056	6.145838751	13.39060186	5.372570868	2.924233922
34	3.293532619	7.482768322	4.805040997	1.631460953	2.878963853	1.822657252	4.663064799	2.267010039	6.207539416	13.12317809	5.379041683	2.821122665
35	3.299987797	7.405627582	4.943394141	1.61705884	2.875457525	1.769474074	4.559904347	2.268575546	6.394007783	13.0269003	5.378372549	2.748626972
