X,Y
49,2.389653238265153e-06
50,2.389653233012936e-06
51,2.1663093820969284e-06
52,2.1663093820969284e-06
53,1.993087003329925e-06
54,1.6794608197263772e-06
55,1.6794608197263772e-06
56,1.6245698852917148e-06
57,1.6245698852917148e-06
58,1.6245698852917148e-06
59,1.6245698583806424e-06
60,1.5333150844470505e-06
61,1.533315035237376e-06
62,1.533315035237376e-06
63,1.533315035237376e-06
64,1.324752876928424e-06
65,1.324752876928424e-06
67,1.3183691230435047e-06
68,1.3183691230435047e-06
69,1.3183691230435047e-06
70,1.0608710426492724e-06
71,1.0608710426492724e-06
73,9.965435029291525e-07
74,8.856233682338703e-07
75,8.856233682338703e-07
77,8.856233581539358e-07
78,8.609205271166093e-07
79,8.609205271166093e-07
81,8.365877329223892e-07
82,8.365877329223892e-07
84,8.173288792968261e-07
85,8.173288624573247e-07
86,8.173288624573247e-07
88,7.882231691332656e-07
90,7.069456326322385e-07
91,7.069456326322385e-07
93,6.03416710744424e-07
94,6.03416710744424e-07
96,5.866559272548536e-07
98,5.479474921043571e-07
99,5.479474901822591e-07
101,5.479474901822591e-07
103,5.427577790878562e-07
105,5.427577790878562e-07
107,4.997958111190635e-07
108,4.997958111190635e-07
110,4.914640794237414e-07
112,4.1526698984206496e-07
114,3.8855023639040265e-07
116,3.8855023639040265e-07
118,3.6745546354204014e-07
120,3.674554604674567e-07
122,3.6017081024441586e-07
125,3.601708080232163e-07
127,3.5359246544229607e-07
129,3.4095088342139775e-07
131,3.192425881395766e-07
134,3.088142211933304e-07
136,3.0322785608506366e-07
138,2.8767732983929614e-07
141,2.8767732772148634e-07
143,2.8739774657874645e-07
146,2.6468313240539176e-07
148,2.6468313036841596e-07
151,2.617407828697797e-07
153,2.531455584625989e-07
156,2.424815048246518e-07
159,2.424815011945895e-07
162,2.363330135530518e-07
165,2.2726692154206217e-07
167,2.196900277230914e-07
170,2.1466914348460967e-07
173,2.146691237882406e-07
176,1.8581911010795618e-07
179,1.8581909237454436e-07
183,1.7393684090693245e-07
186,1.7242339053475699e-07
189,1.7242336618200042e-07
192,1.7047544238618528e-07
196,1.696014841247791e-07
199,1.535317764141949e-07
203,1.5035464094431464e-07
206,1.411080112827372e-07
210,1.3828570740339398e-07
213,1.3828567814827086e-07
217,1.313567789716314e-07
221,1.2456788589552496e-07
225,1.239694848248576e-07
229,1.2121778477816938e-07
233,1.1292840217527521e-07
237,1.1072702575352201e-07
241,1.1011538525101e-07
245,1.0885473316883487e-07
249,1.0792857652602476e-07
254,9.379395787540139e-08
258,9.364393303672705e-08
263,9.127274067037431e-08
267,8.832287368111178e-08
272,8.690885591871436e-08
277,8.100296398235782e-08
282,7.878364972690817e-08
287,7.868039170957377e-08
292,7.296304039547966e-08
297,7.295688939419475e-08
302,7.14437235007837e-08
307,7.088940789032873e-08
313,6.66380182348822e-08
318,6.633103526198277e-08
324,6.228394442220775e-08
329,6.168814325788056e-08
335,5.868875732262621e-08
341,5.805390766747705e-08
347,5.7398195316905e-08
353,5.663058341800371e-08
359,5.185952682629255e-08
365,5.0767623243364024e-08
372,4.9707885141833666e-08
378,4.941079394049268e-08
385,4.791640223393944e-08
392,4.338789921188732e-08
398,4.1861321810795e-08
405,4.168043070234774e-08
412,4.105420427598983e-08
420,3.896007435047691e-08
427,3.880084257152399e-08
434,3.8139325661102064e-08
442,3.6845857036158005e-08
450,3.373930104508417e-08
458,3.2421764936140577e-08
466,3.136732013585362e-08
474,3.0953367064695034e-08
482,3.0363980031849405e-08
490,3.013607926064388e-08
499,2.9729830232658392e-08
