X,Y
101,0.00022176793340611674
101,0.00022176793340611674
102,0.00021754794465782067
102,0.00021754794465782067
103,0.00021754794465782067
104,0.00021487180885464423
104,0.00021487180885464423
105,0.00021486848784577138
105,0.00021486848784577138
106,0.00021348612959160257
107,0.00021348612959160257
107,0.00021348612959160257
108,0.00020957285525571756
109,0.00020957285525571756
109,0.00020957285525571756
110,0.00020580122404148453
111,0.00020580122404148453
111,0.00020580122404148453
112,0.0002021620495825752
113,0.0002021620495825752
113,0.0002021620495825752
114,0.00019864947968854349
115,0.00019864947968854349
115,0.00019864947968854349
116,0.00019525571978588386
117,0.00019525571978588386
117,0.00019525571978588386
118,0.00019197658252682808
119,0.00019197658252682808
120,0.0001888051371579361
120,0.0001888051371579361
121,0.0001888051371579361
122,0.0001857381273988142
122,0.0001857381273988142
123,0.0001857381273988142
124,0.00018276849953881343
125,0.00018276849953881343
125,0.00018276849953881343
126,0.0001798919517979748
127,0.0001798919517979748
128,0.00017710448613861223
128,0.00017710448613861223
129,0.00017710448613861223
130,0.00017440186356598825
131,0.00017440186356598825
132,0.00017178048030896232
132,0.00017178048030896232
133,0.00017178048030896232
134,0.00016923662031756816
135,0.00016923662031756816
136,0.00016676770837726354
136,0.00016676770837726354
137,0.00016676770837726354
138,0.00016436884167399338
139,0.00016436884167399338
140,0.00016365612551250063
141,0.00016364605151234087
141,0.00016364605151234087
142,0.00016364605151234087
143,0.00016364605151234087
144,0.00016203812634269407
145,0.00016203812634269407
146,0.00015977285747461703
147,0.00015977285747461703
147,0.00015977285747461703
148,0.0001575696093849226
149,0.0001575696093849226
150,0.00015542648979173493
151,0.00015542648979173493
152,0.00015334095986234962
153,0.00015334095986234962
154,0.00015131015294908576
155,0.00015131015294908576
156,0.00014933265126812186
157,0.00014933265126812186
157,0.00014933265126812186
158,0.00014740564841119288
159,0.00014740564841119288
160,0.00014552821712966737
161,0.00014552821712966737
162,0.00014369782374516843
163,0.00014369782374516843
164,0.00014191300682935682
165,0.00014191300682935682
166,0.00014017188484041627
167,0.00014017188484041627
168,0.00013847295770232142
169,0.00013847295770232142
170,0.00013681404273668766
171,0.00013681404273668766
172,0.00013519449170150576
173,0.00013519449170150576
174,0.0001336129162770948
175,0.0001336129162770948
176,0.00013206830508175993
177,0.00013206830508175993
179,0.0001305586483475405
180,0.0001290834771284619
181,0.0001290834771284619
182,0.00012764098730169243
183,0.00012764098730169243
184,0.0001262301369993337
185,0.0001262301369993337
186,0.00012485007026279184
187,0.00012485007026279184
188,0.00012349912619424478
190,0.00012217818323812467
191,0.00012217818323812467
192,0.00012088432950691679
193,0.00012088432950691679
194,0.00011961820343234904
195,0.00011961820343234904
196,0.00011837787497810216
198,0.00011716347164620556
199,0.00011716347164620556
200,0.00011597290479379126
201,0.00011597290479379126
202,0.00011480647428313746
204,0.00011366318067852437
205,0.00011366318067852437
206,0.00011254267882688726
207,0.00011254267882688726
209,0.0001114439012598948
210,0.00011036629292309928
211,0.00011036629292309928
212,0.0001093094631121996
214,0.00010827197152748468
215,0.00010827197152748468
216,0.00010725447970562966
218,0.00010625569407775182
219,0.00010625569407775182
220,0.00010527571885755116
221,0.00010527571885755116
223,0.0001043125420266832
224,0.00010336769827468337
225,0.00010336769827468337
227,0.0001024394565812432
228,0.00010152771453723924
230,0.00010063219673260237
231,0.00010063219673260237
232,9.97521769556449e-05
234,9.888711394126115e-05
235,9.888711394126115e-05
236,9.803700921048318e-05
238,9.720138917664021e-05
239,9.720138917664021e-05
241,9.637953980777425e-05
242,9.557161490982923e-05
244,9.477715144154252e-05
245,9.477715144154252e-05
247,9.399599423818035e-05
248,9.322694034623216e-05
250,9.275692503504637e-05
251,9.275692503504637e-05
253,9.275636088674661e-05
254,9.24708977143304e-05
256,9.172619740741941e-05
257,9.172619740741941e-05
259,9.099382796003495e-05
260,9.027283969491652e-05
262,8.956356464336013e-05
263,8.956356464336013e-05
265,8.886469905895036e-05
267,8.817691152656719e-05
268,8.749969310514286e-05
270,8.683231550363659e-05
271,8.683231550363659e-05
273,8.617528754670767e-05
275,8.552800973548687e-05
276,8.489031025834543e-05
278,8.426189716478623e-05
280,8.364268105095895e-05
281,8.364268105095895e-05
283,8.303241434321523e-05
285,8.243106509187655e-05
286,8.183805123425407e-05
288,8.125356587771982e-05
290,8.067739330967697e-05
292,8.010919347290484e-05
293,8.010919347290484e-05
295,7.954879442704787e-05
297,7.899619494531701e-05
299,7.845106045487564e-05
300,7.791341409767776e-05
302,7.738313729199193e-05
304,7.685965572039572e-05
306,7.634327665563171e-05
308,7.583347781784756e-05
309,7.583347781784756e-05
311,7.533049254840701e-05
313,7.483421224683295e-05
315,7.434440624564086e-05
317,7.386078161750715e-05
319,7.338338171805704e-05
321,7.291180317193267e-05
323,7.244653352253418e-05
325,7.198656330091131e-05
327,7.153268021891209e-05
329,7.108420963023564e-05
330,7.06416498496653e-05
332,7.020409961516985e-05
334,6.977214616963138e-05
336,6.934509490744396e-05
338,6.892330360151576e-05
340,6.850646967972468e-05
343,6.809476057680775e-05
345,6.768772557067259e-05
347,6.728536484063178e-05
349,6.688795019366888e-05
351,6.649480570484353e-05
