X,Y
49,5.492645655778451e-08
50,5.492645655778451e-08
51,3.575755976708503e-08
52,3.575755976708503e-08
53,3.5757558897097974e-08
54,3.5757558599937865e-08
55,3.5757558599937865e-08
56,3.575755134194745e-08
57,3.575748853667495e-08
58,3.575748853667495e-08
59,2.533273324930321e-08
60,2.533273324930321e-08
61,2.4931976976267e-08
62,2.4931976976267e-08
63,2.4931976976267e-08
64,2.3343309315737684e-08
65,2.0444565323877006e-08
67,1.580801892043908e-08
68,1.580801892043908e-08
69,1.2295017045716678e-08
70,1.2295015257071958e-08
71,1.0304841252989302e-08
73,7.736708380606696e-09
74,7.736708380606696e-09
75,6.286983169204676e-09
77,6.286980265451674e-09
78,6.286980098516486e-09
79,5.317939418314686e-09
81,5.264542678065017e-09
82,5.264542678065017e-09
84,4.128355698450507e-09
85,4.128355596659011e-09
86,3.6173452159188848e-09
88,3.6173452159188848e-09
90,3.6173452159188848e-09
91,3.6173452159188848e-09
93,3.6173452159188848e-09
94,3.6173452159188848e-09
96,3.6173452159188848e-09
98,3.6173452159188848e-09
99,3.6173452159188848e-09
101,3.6173452159188848e-09
103,3.6173452159188848e-09
105,3.6173452159188848e-09
107,3.6173452159188848e-09
108,3.6173452159188848e-09
110,3.6173452159188848e-09
112,3.6173452159188848e-09
114,3.6173452159188848e-09
116,3.6173452159188848e-09
118,3.5128071830795354e-09
120,3.5128071830795354e-09
122,3.4764090353645728e-09
125,3.2584740297669383e-09
127,2.47528537638344e-09
129,2.455716283332254e-09
131,2.4031105272099786e-09
134,2.4030950123082694e-09
136,2.4030757855320145e-09
138,2.4030549078291994e-09
141,2.4030301372925087e-09
143,2.4030179005114218e-09
146,1.8746895810187466e-09
148,1.8746895810187466e-09
151,1.686177132038429e-09
153,1.566267619098629e-09
156,1.5033456628714432e-09
159,1.4197943201777091e-09
162,1.373096082468696e-09
165,1.2668413871953564e-09
167,1.0724085787355274e-09
170,8.931599564855791e-10
173,8.931599564855791e-10
176,8.931599564855791e-10
179,7.068195757427336e-10
183,5.618145320001624e-10
186,4.867551082622049e-10
189,4.3437265312369433e-10
192,4.3437265312369433e-10
196,3.8168564798849844e-10
199,3.7076044879501023e-10
203,3.6758156093190934e-10
206,3.330921323286446e-10
210,3.3140597955494067e-10
213,2.8246315802331047e-10
217,2.7272699149566857e-10
221,2.7272699149566857e-10
225,2.7272699149566857e-10
229,2.7272699149566857e-10
233,2.7272699149566857e-10
237,2.7272699149566857e-10
241,2.7272699149566857e-10
245,2.7272699149566857e-10
249,2.7272699149566857e-10
254,2.7272699149566857e-10
258,2.7272699149566857e-10
263,2.7272699149566857e-10
267,2.7272699149566857e-10
272,2.7272699149566857e-10
277,2.7272699149566857e-10
282,2.6398596200913716e-10
287,2.456580545456691e-10
292,2.1921777672194564e-10
297,2.1195621032359883e-10
302,1.9267880674753565e-10
307,1.9267880674753565e-10
313,1.8061555735383693e-10
318,1.7118600483590807e-10
324,1.6988481069734728e-10
329,1.6498813024944935e-10
335,1.6496880621459624e-10
341,1.639983962459315e-10
347,1.6206126296080523e-10
353,1.5855360875285272e-10
359,1.584304847831176e-10
365,1.5834050023763288e-10
372,1.5829900762638302e-10
378,1.5826986904142343e-10
385,1.3794358678478162e-10
392,1.303778588508863e-10
398,1.303778588508863e-10
405,1.2113691982832297e-10
412,9.375865753152814e-11
420,9.275899100546556e-11
427,7.032477337209262e-11
434,6.474482033364856e-11
442,5.395517983707965e-11
450,5.395517983707965e-11
458,5.395517983707965e-11
466,5.395517983707965e-11
474,5.395517983707965e-11
482,5.395517983707965e-11
490,5.395517983707965e-11
499,5.395517983707965e-11
