X,Y
49,0.0001354254111778291
50,0.0001267234707927127
50,0.0001267234707927127
51,0.0001267234707927127
51,0.0001267234707927127
52,0.000118911705946651
52,0.000118911705946651
53,0.000118911705946651
53,0.000118911705946651
54,0.00011187113701662237
54,0.00011187113701662237
54,0.00011187113701662237
55,0.00011187113701662237
55,0.00011187113701662237
56,0.00010549586855262357
56,0.00010549586855262357
57,0.00010549586855262357
57,0.00010549586855262357
58,9.970589641329211e-05
58,9.970589641329211e-05
59,9.970589641329211e-05
59,9.970589641329211e-05
60,9.442427482701828e-05
60,9.442427482701828e-05
61,9.442427482701828e-05
61,9.442427482701828e-05
62,8.959490611509411e-05
63,8.959490611509411e-05
63,8.959490611509411e-05
64,8.516092095619129e-05
64,8.516092095619129e-05
65,8.516092095619129e-05
65,8.516092095619129e-05
66,8.10823138156539e-05
66,8.10823138156539e-05
67,8.10823138156539e-05
68,8.052108204085229e-05
68,8.052108204085229e-05
69,8.052108204085229e-05
69,8.052108204085229e-05
70,8.052108204085229e-05
71,8.05205923110405e-05
71,8.05205923110405e-05
72,7.731750847165265e-05
72,7.731750847165265e-05
73,7.731750847165265e-05
74,7.383609072469721e-05
74,7.383609072469721e-05
75,7.383609072469721e-05
76,7.060752219465463e-05
76,7.060752219465463e-05
77,7.060752219465463e-05
78,6.760746932209684e-05
78,6.760746932209684e-05
79,6.760746932209684e-05
80,6.481411640736165e-05
80,6.481411640736165e-05
81,6.481411640736165e-05
82,6.220737517243013e-05
82,6.220737517243013e-05
83,6.220737517243013e-05
84,5.977126301990693e-05
85,5.977126301990693e-05
85,5.977126301990693e-05
86,5.7489399311965205e-05
87,5.7489399311965205e-05
88,5.534998090141756e-05
88,5.534998090141756e-05
89,5.534998090141756e-05
90,5.33390197285464e-05
91,5.33390197285464e-05
91,5.33390197285464e-05
92,5.1447617725714734e-05
93,5.1447617725714734e-05
94,4.9664517798866824e-05
95,4.9664517798866824e-05
96,4.7982710843731875e-05
96,4.7982710843731875e-05
97,4.7982710843731875e-05
98,4.639320782747494e-05
99,4.639320782747494e-05
100,4.591082663547158e-05
101,4.590855480376761e-05
101,4.590855480376761e-05
102,4.590855480376761e-05
103,4.590855480376761e-05
104,4.489002015105878e-05
105,4.489002015105878e-05
106,4.486060990690726e-05
107,4.346595877057492e-05
108,4.346595877057492e-05
109,4.211577984071827e-05
110,4.211577984071827e-05
111,4.083406728295021e-05
112,4.083406728295021e-05
113,3.961579027100936e-05
114,3.961579027100936e-05
115,3.845702553168394e-05
116,3.845702553168394e-05
117,3.735354632739532e-05
118,3.735354632739532e-05
119,3.6301948408547785e-05
120,3.6301948408547785e-05
121,3.529872662808189e-05
122,3.529872662808189e-05
123,3.4341006275222016e-05
124,3.4341006275222016e-05
125,3.3425678412574326e-05
126,3.3425678412574326e-05
127,3.323442750342574e-05
128,3.3233257680422456e-05
129,3.255032743874278e-05
130,3.255032743874278e-05
131,3.171233936516519e-05
133,3.090980055941553e-05
134,3.090980055941553e-05
135,3.014045084431897e-05
136,3.014045084431897e-05
137,2.9530382302352014e-05
138,2.9529909962649473e-05
140,2.9529909962649473e-05
141,2.9402711378719692e-05
142,2.9402711378719692e-05
143,2.8694480884588758e-05
145,2.801417468583202e-05
146,2.801417468583202e-05
147,2.7360323674431884e-05
148,2.7360323674431884e-05
150,2.6731484510093604e-05
151,2.6126370283961408e-05
152,2.6126370283961408e-05
154,2.5543730256241093e-05
155,2.5427545565557587e-05
156,2.5427026164253868e-05
158,2.5427026164253868e-05
159,2.4982534910229784e-05
160,2.4982534910229784e-05
162,2.4441450819815335e-05
163,2.3919638439236976e-05
164,2.3919638439236976e-05
166,2.341617341730527e-05
167,2.29300619133748e-05
169,2.2460567955042438e-05
170,2.2460567955042438e-05
172,2.200689091559193e-05
173,2.1568212499273004e-05
175,2.1143948256018494e-05
176,2.1143948256018494e-05
178,2.0733340146460233e-05
179,2.0542399456415324e-05
181,2.0542399456415324e-05
182,2.0542028748320863e-05
184,2.0335918353389043e-05
186,1.995100754775212e-05
187,1.957810257619508e-05
189,1.9484164614814627e-05
190,1.9482903512538648e-05
192,1.921665808703611e-05
194,1.8866198627316196e-05
195,1.852617206201794e-05
197,1.819624997533647e-05
199,1.787601635960192e-05
200,1.787601635960192e-05
202,1.7565118529720244e-05
204,1.7263083173063096e-05
206,1.6969653417416253e-05
208,1.6684406483400648e-05
209,1.6407030807354152e-05
211,1.6137248235644515e-05
213,1.5874685569672193e-05
215,1.5619304537112535e-05
217,1.5370587764324513e-05
219,1.5128479876375758e-05
220,1.5128479876375758e-05
222,1.5101136222028959e-05
224,1.5100000862915899e-05
226,1.4892605326709855e-05
228,1.4662855628416673e-05
230,1.443885022114972e-05
232,1.4220513710944752e-05
234,1.4007613525876714e-05
236,1.391206705765721e-05
238,1.391206705765721e-05
240,1.380000334524791e-05
242,1.3597452903140139e-05
244,1.3399799891427363e-05
247,1.301851112678968e-05
249,1.2834611706879312e-05
251,1.2654973008798375e-05
253,1.2479531169457031e-05
255,1.2307974692385938e-05
257,1.2140415210154515e-05
260,1.1976581294004216e-05
262,1.1816396734375556e-05
264,1.1659767355574365e-05
266,1.1566719260913835e-05
269,1.1506549336762549e-05
271,1.1356623280100716e-05
273,1.1209934552100966e-05
276,1.1066375960339819e-05
278,1.0925815456752802e-05
280,1.0788221736709429e-05
283,1.0653495194810617e-05
285,1.0521572843758133e-05
288,1.0265665330976593e-05
290,1.0141513600631388e-05
293,1.0019891901375583e-05
295,9.900657593000228e-06
298,9.66917359387326e-06
300,9.66912191743375e-06
303,9.446558490916678e-06
306,9.338382301309705e-06
308,9.232281472469878e-06
311,9.146403236036884e-06
314,9.128162098286311e-06
316,9.025977440163798e-06
319,8.827200763158531e-06
322,8.730520878831687e-06
325,8.66502100286189e-06
327,8.635601063636513e-06
330,8.54235625134447e-06
333,8.450783440476745e-06
336,8.360837510580387e-06
339,8.272461342214019e-06
342,8.100281234962307e-06
345,8.016402517993431e-06
348,7.933963119992948e-06
351,7.852932210697568e-06
354,7.694880533031566e-06
357,7.6178037970949535e-06
360,7.467473000478729e-06
363,7.420612294065728e-06
366,7.418486070131801e-06
369,7.417876736540918e-06
373,7.3220067868178215e-06
376,7.1811489205077795e-06
379,7.112417698740153e-06
382,6.978111387293179e-06
386,6.84798476885154e-06
389,6.7844005251725405e-06
392,6.660148121993646e-06
396,6.539605628842486e-06
399,6.480695205006354e-06
402,6.365432454691908e-06
406,6.253529515908385e-06
409,6.198786433449243e-06
413,6.145503429000677e-06
417,6.091663246670953e-06
420,5.987523449619719e-06
424,5.9137508711862755e-06
427,5.913705939430097e-06
431,5.852479059408477e-06
435,5.78785521850137e-06
439,5.692114858108329e-06
442,5.598922370320973e-06
446,5.508242870827416e-06
450,5.419940506502548e-06
454,5.33394462231066e-06
458,5.250154485183311e-06
462,5.179972941981479e-06
466,5.168515548522278e-06
470,5.0889442498642535e-06
474,5.011347414602081e-06
478,4.935669157354717e-06
482,4.861835961787347e-06
486,4.789821424407289e-06
490,4.7195072276698035e-06
495,4.6575524580074245e-06
499,4.6171501922037125e-06
