X,Y
49,5.426962605125752e-06
50,5.426962593197871e-06
51,5.141197896800259e-06
52,5.141197896800259e-06
53,5.141197896800259e-06
54,5.141197582081243e-06
55,4.597470762539329e-06
56,4.597470762539329e-06
57,4.51862157718482e-06
58,4.51862157718482e-06
59,4.51862157718482e-06
60,4.518621502333617e-06
61,3.8024285457380074e-06
62,3.8024285457380074e-06
63,3.347449228987928e-06
64,3.3474490335606306e-06
65,3.3474490335606306e-06
67,3.1807240948262784e-06
68,3.1807240948262784e-06
69,2.7540489006560653e-06
70,2.7540489006560653e-06
71,2.7540489006560653e-06
73,2.7529185405782413e-06
74,2.752918452227037e-06
75,2.752918452227037e-06
77,2.6875759342478377e-06
78,2.6875759342478377e-06
79,2.5315478354227734e-06
81,2.2913885497627443e-06
82,2.2913885497627443e-06
84,2.273340080345269e-06
85,2.273340080345269e-06
86,2.273340080345269e-06
88,2.166752375363372e-06
90,2.166752375363372e-06
91,2.0279473732454997e-06
93,1.9694513365082973e-06
94,1.8489248807939505e-06
96,1.8489248504247317e-06
98,1.705200818142094e-06
99,1.705200818142094e-06
101,1.646189814431012e-06
103,1.646189814431012e-06
105,1.6453718682346929e-06
107,1.6453718682346929e-06
108,1.4861163691057097e-06
110,1.4453974371084908e-06
112,1.4453974250145292e-06
114,1.325241753905214e-06
116,1.325241753905214e-06
118,1.303081228233712e-06
120,1.247912454754077e-06
122,1.247912454754077e-06
125,1.239778913149274e-06
127,1.1640291067365027e-06
129,1.1640291067365027e-06
131,1.1489880003698201e-06
134,1.061740985201212e-06
136,1.0302309307040784e-06
138,1.030230915281042e-06
141,1.0182272340749005e-06
143,1.0139736879090488e-06
146,9.957558880475776e-07
148,9.790312660253898e-07
151,9.790311944198157e-07
153,9.066289963805004e-07
156,8.262330260859358e-07
159,8.107793379206159e-07
162,7.88864280582158e-07
165,7.752632693634335e-07
167,7.752631953771625e-07
170,7.703384720263575e-07
173,7.279738277046509e-07
176,7.250079467826194e-07
179,6.835245002448694e-07
183,6.832342562655179e-07
186,6.493584130159756e-07
189,6.49358321301811e-07
192,6.205678166877522e-07
196,6.155641141994196e-07
199,5.972319006657813e-07
203,5.93404646988721e-07
206,5.439509943807183e-07
210,5.170920116298662e-07
213,5.170919641855353e-07
217,5.079042781894186e-07
221,5.07736822079389e-07
225,4.763013455882958e-07
229,4.757254709576911e-07
233,4.6234568383701357e-07
237,4.4736239827980957e-07
241,4.297222370884796e-07
245,4.233319183196209e-07
249,4.1650042035098916e-07
254,4.139530231231738e-07
258,4.09517834270797e-07
263,3.9786488605382204e-07
267,3.9137275942331805e-07
272,3.817630563815483e-07
277,3.7834153848085013e-07
282,3.582393884721279e-07
287,3.460223020329733e-07
292,3.305033008547825e-07
297,3.229453435043229e-07
302,3.10540315749269e-07
307,3.0789435071624936e-07
313,3.070765566018268e-07
318,2.945583915563324e-07
324,2.849570625164343e-07
329,2.727571624365417e-07
335,2.687290684403992e-07
341,2.6613686669467537e-07
347,2.6172532390836785e-07
353,2.530688447447592e-07
359,2.3947115167913085e-07
365,2.3313749210289506e-07
372,2.2530398226780133e-07
378,2.2526792580635048e-07
385,2.1510600067784716e-07
392,2.1244077593995854e-07
398,2.0876604598985412e-07
405,2.0546844472204542e-07
412,1.9718152182920503e-07
420,1.9367791499682686e-07
427,1.8364576426410105e-07
434,1.8234202443757792e-07
442,1.7858726143998955e-07
450,1.76116432124719e-07
458,1.7556470214828543e-07
466,1.634047080055874e-07
474,1.603232525739671e-07
482,1.5938713694619746e-07
490,1.5725695336282831e-07
499,1.5048813604766589e-07
