Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	38042.7312	38042.7312	38042.7312	38.0427312
2	29784.53245	26704.64654	26692.88611	29.78453245
3	21981.86551	16094.09812	16082.33769	21.98186551
4	20509.74189	15018.94629	15015.31946	20.50974189
5	18128.93077	13910.71113	13907.0843	18.12893077
6	17591.1835	13728.99864	13623.83026	17.5911835
7	17278.71752	13499.86892	13251.62437	17.27871752
8	16965.75283	13248.19994	13092.85325	16.96575283
9	16764.73616	13123.51351	13010.72835	16.76473616
10	16609.36875	12955.1903	12824.5638	16.60936875
11	16475.77015	12891.972	12655.48038	16.47577015
12	16273.15759	12776.85601	12518.60864	16.27315759
13	16188.85748	12656.47537	12534.14714	16.18885748
14	16161.09173	12546.32929	12536.0156	16.16109173
15	16112.83024	12523.84576	12491.08778	16.11283024
16	15987.41659	12601.77269	12523.22329	15.98741659
17	15900.29619	12619.81046	12503.12586	15.90029619
18	15879.05785	12631.29063	12517.68751	15.87905785
19	15821.61182	12634.41348	12516.71867	15.82161182
20	15817.86174	12619.67215	12476.39573	15.81786174
21	15833.90198	12544.46298	12390.35874	15.83390198
22	15835.71219	12517.75115	12310.67827	15.83571219
23	15751.18494	12537.35883	12312.92952	15.75118494
24	15683.4065	12470.12401	12209.03321	15.6834065
25	15651.55187	12475.98042	12301.17141	15.65155187
26	15598.74644	12454.42765	12331.95727	15.59874644
27	15575.16191	12452.35938	12350.45136	15.57516191
28	15531.90833	12533.89275	12402.53666	15.53190833
29	15492.7929	12481.16325	12345.54575	15.4927929
30	15526.98494	12522.74818	12335.60478	15.52698494
31	15543.78886	12561.18515	12321.8247	15.54378886
32	15564.14601	12638.64114	12436.47	15.56414601
33	15569.18136	12641.06307	12385.76996	15.56918136
34	15588.37869	12537.16437	12434.0641	15.58837869
35	15613.12863	12539.91999	12470.00843	15.61312863
36	15639.16317	12547.32668	12437.68355	15.63916317
37	15690.16762	12583.34317	12504.12144	15.69016762
38	15735.25296	12734.9589	12540.97261	15.73525296
39	15782.929	12761.95251	12523.68041	15.782929
40	15798.22195	12798.1806	12541.33699	15.79822195
41	15825.11814	12796.91908	12528.74769	15.82511814
42	15872.23815	12804.82314	12510.53219	15.87223815
43	15900.79693	12901.86303	12596.79236	15.90079693
44	15914.40382	12953.68799	12718.43959	15.91440382
45	15930.14479	12981.65927	12734.34359	15.93014479
46	15958.49987	13043.40348	12870.58476	15.95849987
47	16000.15427	12938.22897	12806.55116	16.00015427
48	16040.17471	12964.98878	12838.48293	16.04017471
49	16074.94874	12975.97893	12903.51231	16.07494874
50	16123.52121	13012.64921	12937.99696	16.12352121
51	16166.61219	13017.02011	12943.45116	16.16661219
52	16216.21518	13057.05111	12954.1494	16.21621518
53	16255.41015	13313.36238	13029.64886	16.25541015
54	16301.93122	13371.6418	13091.82377	16.30193122
55	16341.0732	13220.77434	13007.87251	16.3410732
56	16391.72033	13392.74774	13003.06018	16.39172033
57	16443.54458	13224.53186	12985.21152	16.44354458
58	16497.36977	13293.07323	12995.47506	16.49736977
59	16537.1364	13269.11511	13064.49243	16.5371364
60	16587.5956	13336.30355	13221.55128	16.5875956
61	16644.86184	13346.00964	13278.00596	16.64486184
62	16678.3205	13380.97765	13165.99908	16.6783205
63	16735.31433	13399.66521	13287.67582	16.73531433
64	16781.14246	13431.39945	13320.2212	16.78114246
65	16820.95903	13519.90601	13376.24468	16.82095903
66	16856.84425	13718.82908	13363.3156	16.85684425
67	16895.60637	13741.6037	13383.88032	16.89560637
68	16938.51913	13822.2378	13436.58973	16.93851913
69	16964.27465	13850.13056	13384.79684	16.96427465
70	17001.71422	13954.06036	13415.46468	17.00171422
71	17033.79708	13897.36438	13521.30935	17.03379708
72	17080.31545	13964.18528	13592.87371	17.08031545
73	17136.40496	13812.71048	13638.17174	17.13640496
74	17178.02203	13875.70333	13720.84144	17.17802203
75	17223.95723	13846.5773	13686.7659	17.22395723
76	17268.08026	13873.45627	13716.51132	17.26808026
77	17317.9494	13930.21435	13766.98307	17.3179494
78	17358.44899	13950.83358	13722.05006	17.35844899
79	17409.91653	13938.44137	13667.08809	17.40991653
80	17457.95743	13977.5914	13720.06707	17.45795743
81	17514.78332	14020.26569	13738.83627	17.51478332
82	17563.61297	14040.83798	13776.38111	17.56361297
83	17612.88096	14043.38278	13803.79697	17.61288096
84	17667.09128	14114.82639	13920.50118	17.66709128
85	17716.15217	14194.84107	14027.79354	17.71615217
86	17767.07193	14212.69345	14012.21718	17.76707193
87	17826.29135	14286.69833	14080.98295	17.82629135
88	17861.21552	14400.06139	14221.48655	17.86121552
89	17905.08937	14489.2664	14312.06426	17.90508937
90	17960.444	14564.96513	14365.16808	17.960444
91	18013.96147	14580.61412	14331.01681	18.01396147
92	18067.05433	14582.73921	14287.91044	18.06705433
93	18121.71033	14657.32366	14479.62638	18.12171033
94	18182.78186	14731.31489	14493.9756	18.18278186
95	18232.25952	14743.52759	14472.30206	18.23225952
96	18281.09188	14763.17188	14549.87409	18.28109188
97	18310.5693	14815.52022	14559.68352	18.3105693
98	18363.75821	14746.08363	14499.37694	18.36375821
99	18410.66257	14811.82582	14615.2799	18.41066257
100	18471.32145	14896.18362	14671.72434	18.47132145
101	18528.4204	14901.0321	14709.23506	18.5284204
102	18585.60131	14969.85303	14694.22966	18.58560131
103	18642.83331	15031.50892	14769.57511	18.64283331
104	18689.29535	15056.24397	14786.9622	18.68929535
105	18741.63684	15090.13442	14710.3844	18.74163684
106	18799.27666	15133.55896	14922.0285	18.79927666
107	18860.18141	15187.87134	15011.7288	18.86018141
108	18916.65115	15233.00984	15031.11882	18.91665115
109	18978.5749	15301.96194	15118.07575	18.9785749
110	19038.35984	15306.22227	15027.20014	19.03835984
111	19088.22336	15334.79218	15096.27515	19.08822336
112	19138.74409	15405.33105	15221.73012	19.13874409
113	19200.00996	15469.71284	15291.9116	19.20000996
114	19254.11718	15507.44098	15358.68586	19.25411718
115	19306.71005	15534.72043	15371.00222	19.30671005
116	19365.47939	15545.72017	15308.85905	19.36547939
117	19420.90636	15645.52742	15403.46367	19.42090636
118	19473.64879	15728.63246	15435.44347	19.47364879
119	19535.58503	15796.0079	15519.41828	19.53558503
120	19597.04466	15873.32812	15580.27436	19.59704466
121	19653.30365	15917.32277	15721.65618	19.65330365
122	19707.82464	15912.14374	15741.8473	19.70782464
123	19748.86879	15989.87755	15804.30185	19.74886879
124	19804.343	16010.18001	15772.4586	19.804343
125	19850.86286	16075.35474	15823.82378	19.85086286
126	19905.97042	16093.46237	15869.78069	19.90597042
127	19962.6882	16140.89145	15942.84261	19.9626882
128	20008.87492	16210.50312	16038.64178	20.00887492
