Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	41783.31744	41783.31744	41783.31744	41.78331744
2	31473.26332	27705.58473	27705.58473	31.47326332
3	21317.21741	14498.56493	14498.56493	21.31721741
4	18260.9247	13146.37856	13129.65064	18.2609247
5	15969.76113	12046.65016	12005.84757	15.96976113
6	15501.7416	11735.45425	11718.72634	15.5017416
7	15373.26375	11655.64872	11612.61524	15.37326375
8	14838.20072	11277.31855	11226.46887	14.83820072
9	14536.38563	11180.52426	11145.99248	14.53638563
10	14342.16028	11158.30514	11112.54218	14.34216028
11	14210.31474	11138.72078	11107.40576	14.21031474
12	14117.0214	11037.78833	11010.43826	14.1170214
13	14022.33161	10984.49076	10920.46768	14.02233161
14	13723.15456	10971.63813	10913.28226	13.72315456
15	13699.83931	10937.68062	10845.50277	13.69983931
16	13696.98752	10921.59421	10781.69284	13.69698752
17	13709.86005	10777.86843	10712.69267	13.70986005
18	13644.49239	10779.62612	10693.38838	13.64449239
19	13553.38454	10820.33702	10684.75817	13.55338454
20	13556.81415	10831.49194	10635.55976	13.55681415
21	13578.59344	10802.27334	10644.20974	13.57859344
22	13578.86203	10799.67927	10632.43211	13.57886203
23	13592.46022	10676.22516	10613.44379	13.59246022
24	13592.47027	10815.76529	10650.47346	13.59247027
25	13592.28549	10808.02453	10713.29877	13.59228549
26	13629.36592	10872.43858	10748.88794	13.62936592
27	13627.18992	10859.996	10738.61452	13.62718992
28	13578.46225	10849.90017	10723.01746	13.57846225
29	13608.12162	10841.99871	10727.03538	13.60812162
30	13608.48032	10842.78281	10684.17396	13.60848032
31	13619.72066	10828.90873	10641.16729	13.61972066
32	13667.78253	10860.18579	10686.76137	13.66778253
33	13711.0249	10895.58142	10672.24207	13.7110249
34	13757.8439	10917.45638	10695.65074	13.7578439
35	13788.14054	10937.13929	10686.24393	13.78814054
36	13806.64527	10933.24077	10717.15509	13.80664527
37	13833.3303	10976.07072	10756.46908	13.8333303
38	13855.98935	10991.01061	10739.94979	13.85598935
39	13867.76569	11015.16181	10760.71269	13.86776569
40	13899.26179	11014.21151	10752.74238	13.89926179
41	13922.36432	11036.3305	10800.8601	13.92236432
42	13971.9788	11079.88801	10835.23613	13.9719788
43	14012.72009	11117.8055	10939.50821	14.01272009
44	14032.9941	11164.75966	10942.74472	14.0329941
