Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	37534.91474	37534.91474	37534.91474	37.53491474
2	27754.66876	25669.70609	25669.70609	27.75466876
3	18207.25753	13878.35045	13878.35045	18.20725753
4	16907.2574	13362.82675	13355.87058	16.9072574
5	15517.42204	12800.93137	12793.9752	15.51742204
6	15152.48174	12471.54998	12464.59382	15.15248174
7	14783.45306	12111.88126	12083.67606	14.78345306
8	14666.88012	11983.20387	11924.04402	14.66688012
9	14453.94647	11763.64337	11752.41641	14.45394647
10	14335.96783	11679.06419	11668.02962	14.33596783
11	14264.23988	11494.60918	11460.62224	14.26423988
12	14107.96074	11359.66774	11230.96006	14.10796074
13	14065.60577	11163.60732	11131.76577	14.06560577
14	13933.86583	11089.04115	11049.50229	13.93386583
15	13833.92378	11005.69188	10963.90995	13.83392378
16	13823.77916	10802.86077	10741.20368	13.82377916
17	13781.24092	10681.52384	10668.09615	13.78124092
18	13787.54101	10674.41006	10650.46275	13.78754101
19	13794.87613	10547.29554	10547.29554	13.79487613
20	13654.20974	10466.88639	10449.03207	13.65420974
21	13616.30539	10487.24137	10442.74388	13.61630539
22	13640.89165	10411.32931	10360.07221	13.64089165
23	13663.73069	10430.22063	10407.38372	13.66373069
24	13655.52777	10340.5136	10331.16441	13.65552777
25	13677.66382	10312.57698	10312.57698	13.67766382
26	13605.39961	10237.45195	10235.16618	13.60539961
27	13563.94772	10280.73306	10280.73306	13.56394772
28	13569.52115	10334.80495	10334.80495	13.56952115
29	13593.36913	10400.80627	10323.38341	13.59336913
30	13549.81629	10147.61669	10147.61669	13.54981629
31	13573.69401	10066.9913	10066.40409	13.57369401
32	13549.37192	10167.91047	10086.34637	13.54937192
33	13584.6388	10097.71572	10011.3955	13.5846388
34	13608.88365	10106.05337	10069.91088	13.60888365
35	13621.08984	10043.65478	9993.466476	13.62108984
36	13630.24573	10148.67136	10098.19473	13.63024573
37	13660.61315	10004.72555	9944.543735	13.66061315
38	13686.7902	10101.22239	9942.669077	13.6867902
39	13603.10125	10016.20742	10016.20742	13.60310125
40	13643.36567	10020.41496	9979.590989	13.64336567
41	13681.01917	10032.39894	10012.362	13.68101917
42	13685.81734	9997.276112	9993.867797	13.68581734
43	13738.24729	10118.05059	10112.25259	13.73824729
44	13783.62753	10140.607	10132.52166	13.78362753
45	13815.43622	10244.75587	10244.75587	13.81543622
46	13867.32202	10180.83128	10180.83128	13.86732202
47	13908.09993	10207.97297	10207.97297	13.90809993
48	13924.88154	10215.09495	10215.09495	13.92488154
49	13913.56076	10227.34862	10227.34862	13.91356076
50	13881.84215	10147.38811	10147.38811	13.88184215
51	13936.2605	10245.4784	10245.4784	13.9362605
52	13952.18061	10211.31709	10211.31709	13.95218061
53	13966.96174	10218.17208	10218.17208	13.96696174
54	14012.6922	10294.0226	10187.86219	14.0126922
55	14054.08545	10297.11682	10195.79299	14.05408545
56	14080.81847	10339.06138	10322.60497	14.08081847
57	14108.76502	10331.71311	10280.44629	14.10876502
58	14152.75475	10270.64714	10270.64714	14.15275475
59	14173.02018	10513.43973	10344.34969	14.17302018
60	14180.59475	10305.09541	10300.65635	14.18059475
61	14199.9023	10345.33342	10342.60603	14.1999023
62	14230.75409	10391.18368	10388.95077	14.23075409
63	14272.27949	10370.53902	10370.53902	14.27227949
64	14306.98553	10471.31571	10471.31571	14.30698553
65	14345.09641	10523.0627	10510.60563	14.34509641
66	14383.81152	10672.81304	10650.78171	14.38381152
67	14415.74728	10649.25251	10635.91726	14.41574728
68	14464.24351	10765.95517	10721.76201	14.46424351
69	14505.7087	10807.93943	10764.01577	14.5057087
70	14528.64019	10820.96479	10788.88086	14.52864019
71	14562.13669	10794.9735	10789.03251	14.56213669
72	14615.96537	10837.58768	10819.00173	14.61596537
73	14640.59526	10816.98482	10775.29986	14.64059526
74	14682.54661	10882.8829	10882.8829	14.68254661
75	14724.10191	11007.68762	10973.08504	14.72410191
76	14765.26514	10963.48934	10963.48934	14.76526514
77	14816.74351	10982.21749	10953.55917	14.81674351
78	14830.08809	11051.82244	11017.98711	14.83008809
79	14876.24754	11104.19348	11104.19348	14.87624754
80	14922.67774	11135.61707	11057.27616	14.92267774
81	14976.78478	11148.4866	11135.11264	14.97678478
82	15033.34157	11179.46001	11177.78463	15.03334157
83	15045.86243	11311.29272	11299.0442	15.04586243
84	15097.78087	11285.52152	11283.67474	15.09778087
85	15154.32018	11407.12148	11398.91887	15.15432018
86	15217.57093	11456.18313	11443.4094	15.21757093
87	15253.13206	11480.96797	11471.42363	15.25313206
88	15278.20734	11502.76233	11502.76233	15.27820734
89	15322.61987	11623.11546	11591.07708	15.32261987
90	15379.36642	11661.48299	11623.76136	15.37936642
91	15439.76243	11750.39269	11698.11838	15.43976243
92	15490.67054	11780.50265	11755.24894	15.49067054
93	15547.74322	11886.71603	11872.3084	15.54774322
94	15597.69593	11924.18586	11884.41515	15.59769593
95	15633.41029	11995.01689	11942.38905	15.63341029
96	15692.52511	11998.36873	11979.54778	15.69252511
97	15731.45151	11979.32218	11979.32218	15.73145151
98	15767.69213	11997.39552	11996.66313	15.76769213
99	15817.56257	12034.63321	12024.77728	15.81756257
100	15850.07173	12033.12525	11988.33171	15.85007173
101	15877.03341	12117.38581	12104.36037	15.87703341
102	15925.08477	12178.17438	12121.41973	15.92508477
103	15961.46949	12339.63718	12166.05648	15.96146949
104	16002.3647	12291.72362	12241.14914	16.0023647
105	16063.02731	12353.54592	12341.23458	16.06302731
106	16098.25447	12360.6632	12360.6632	16.09825447
107	16145.19012	12424.09007	12424.09007	16.14519012
108	16189.05605	12462.66801	12440.67077	16.18905605
109	16233.13979	12510.10052	12488.09545	16.23313979
110	16284.05443	12574.58572	12553.11986	16.28405443
111	16335.88353	12618.36251	12609.56416	16.33588353
112	16395.27493	12624.58574	12612.17169	16.39527493
113	16413.1553	12663.3417	12663.3417	16.4131553
114	16465.06239	12663.6465	12663.45911	16.46506239
115	16513.74709	12782.62996	12782.62996	16.51374709
116	16565.09827	12783.01462	12767.47213	16.56509827
117	16615.16748	12895.88204	12895.88204	16.61516748
118	16666.88868	12974.52511	12957.25137	16.66688868
119	16722.3399	13014.00128	12996.72754	16.7223399
120	16774.85505	13050.23332	13050.23332	16.77485505
121	16815.20353	13144.2597	13126.98597	16.81520353
122	16851.67476	13117.0853	13117.0853	16.85167476
123	16913.008	13185.63921	13185.63921	16.913008
124	16975.93876	13215.22411	13215.22411	16.97593876
125	17003.44996	13320.05822	13320.05822	17.00344996
126	17059.1984	13400.1107	13400.1107	17.0591984
127	17109.95752	13475.9513	13475.9513	17.10995752
128	17170.696	13526.78084	13526.78084	17.170696
129	17222.11865	13514.0047	13514.0047	17.22211865
130	17279.96562	13613.70846	13613.70846	17.27996562
131	17336.04886	13642.89954	13642.89954	17.33604886
132	17393.6953	13710.20923	13710.20923	17.3936953
133	17457.9275	13790.31399	13790.31399	17.4579275
134	17515.30336	13834.88534	13834.88534	17.51530336
135	17579.22736	13880.02223	13880.02223	17.57922736
136	17645.07641	13935.10088	13935.10088	17.64507641
137	17709.73838	13947.95335	13947.95335	17.70973838
138	17754.59367	14053.35266	14053.35266	17.75459367
139	17817.59404	14117.90292	14117.90292	17.81759404
140	17873.82358	14183.9379	14183.9379	17.87382358
141	17936.2316	14198.30208	14198.30208	17.9362316
142	17991.0108	14267.37674	14267.37674	17.9910108
143	18023.68392	14281.24663	14281.24663	18.02368392
144	18087.95356	14311.68504	14311.68504	18.08795356
145	18152.02382	14401.93725	14401.93725	18.15202382
146	18200.88519	14420.7775	14420.7775	18.20088519
147	18261.17063	14424.04203	14424.04203	18.26117063
148	18317.43574	14461.75246	14461.75246	18.31743574
149	18377.9499	14520.29968	14520.29968	18.3779499
150	18441.93393	14671.2116	14671.2116	18.44193393
151	18495.48663	14674.37967	14674.37967	18.49548663
152	18558.11144	14705.28158	14705.28158	18.55811144
153	18620.14781	14749.24989	14749.24989	18.62014781
154	18676.31186	14824.40649	14824.40649	18.67631186
155	18734.97973	14894.36301	14894.36301	18.73497973
156	18798.09754	14946.82258	14946.82258	18.79809754
157	18859.08406	15003.42107	15003.42107	18.85908406
158	18923.33653	15069.04005	15069.04005	18.92333653
159	18984.37312	15178.33129	15178.33129	18.98437312
160	19048.73778	15222.4027	15222.4027	19.04873778
161	19108.41324	15312.41754	15312.41754	19.10841324
162	19165.99322	15355.32887	15355.32887	19.16599322
163	19222.72674	15395.25595	15395.25595	19.22272674
164	19249.50342	15512.09348	15512.09348	19.24950342
165	19303.79438	15554.59221	15554.59221	19.30379438
166	19367.51149	15606.68957	15606.68957	19.36751149
167	19423.90961	15679.60787	15679.60787	19.42390961
168	19487.98885	15757.70032	15757.70032	19.48798885
169	19554.43071	15814.97599	15814.97599	19.55443071
170	19613.08139	15863.32125	15863.32125	19.61308139
171	19671.7612	15967.13345	15967.13345	19.6717612
172	19732.75361	16011.18941	16011.18941	19.73275361
173	19789.19926	16051.58547	16051.58547	19.78919926
174	19851.23553	16122.47849	16122.47849	19.85123553
175	19898.31151	16171.35665	16171.35665	19.89831151
176	19958.95958	16220.88942	16220.88942	19.95895958
177	20018.88302	16291.77173	16291.77173	20.01888302
178	20084.52517	16383.67646	16383.67646	20.08452517
179	20121.79078	16484.05529	16484.05529	20.12179078
180	20177.33005	16576.02262	16576.02262	20.17733005
