Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	13133.18377	13133.18377	13133.18377	13.13318377
2	10503.19913	9386.467941	9386.467941	10.50319913
3	8019.818132	6006.80729	6004.835642	8.019818132
4	7298.12203	5567.194278	5493.556841	7.29812203
5	6411.725099	4996.533418	4872.730313	6.411725099
6	6044.909135	4505.892159	4332.41373	6.044909135
7	5718.573425	4769.03614	4338.439329	5.718573425
8	5530.132013	4450.695013	4447.209437	5.530132013
9	5229.833082	4292.519131	4289.042295	5.229833082
10	5084.880615	4259.487156	4259.487156	5.084880615
11	4848.719763	4160.379386	4160.379386	4.848719763
12	4754.350875	3929.657202	3929.657202	4.754350875
13	4728.727217	4006.197998	3886.638205	4.728727217
14	4703.733754	4188.330168	4187.500355	4.703733754
15	4696.533876	4088.432617	4087.602804	4.696533876
16	4588.621858	3931.667668	3815.278546	4.588621858
17	4548.306281	4100.148346	3860.193461	4.548306281
18	4477.405942	4063.953162	3963.040158	4.477405942
19	4401.02896	3997.456867	3898.669486	4.40102896
20	4402.837867	3862.532628	3839.114634	4.402837867
21	4386.14436	3746.103314	3722.059389	4.38614436
22	4378.773273	3819.687411	3819.53921	4.378773273
23	4363.537115	3764.210372	3764.084173	4.363537115
24	4358.584038	3793.800148	3703.002348	4.358584038
25	4346.894833	3822.167053	3667.321966	4.346894833
26	4317.830394	3886.427762	3728.232484	4.317830394
27	4319.3778	3926.190092	3622.943037	4.3193778
28	4289.966793	3811.927394	3743.735695	4.289966793
29	4289.497574	3890.663635	3839.113095	4.289497574
30	4293.604654	3743.047375	3738.725234	4.293604654
31	4308.167884	3799.631315	3750.248536	4.308167884
32	4331.921154	3718.367721	3593.768387	4.331921154
33	4312.915505	3799.797019	3742.498148	4.312915505
34	4308.423731	3773.416799	3664.514691	4.308423731
35	4314.841217	3725.863216	3475.577523	4.314841217
36	4305.097624	3792.125695	3554.383781	4.305097624
37	4319.435562	3892.595076	3665.217589	4.319435562
38	4333.688276	3834.719596	3796.383713	4.333688276
39	4354.269229	3774.480082	3736.144199	4.354269229
40	4331.770182	3821.400543	3818.289093	4.331770182
41	4335.201263	3925.163514	3715.664674	4.335201263
42	4349.637204	3868.325114	3819.816082	4.349637204
43	4354.671443	4017.126959	3798.02132	4.354671443
44	4368.185084	4031.602999	3883.582941	4.368185084
45	4390.888012	4063.910705	3891.215318	4.390888012
46	4391.169026	4019.125568	3964.675627	4.391169026
47	4408.52894	4039.742745	3969.380785	4.40852894
48	4415.849603	4060.995114	3999.317245	4.415849603
49	4432.33824	4036.098116	3943.49561	4.43233824
50	4442.922584	4089.677506	3921.490329	4.442922584
51	4462.544645	4061.60794	3926.955676	4.462544645
52	4451.843387	4079.309694	4052.040492	4.451843387
53	4467.118605	4069.406341	4046.685837	4.467118605
54	4480.851512	4081.450634	4051.813024	4.480851512
55	4503.17909	4100.170694	4080.93232	4.50317909
56	4497.571833	3959.222888	3957.687584	4.497571833
57	4507.029714	4013.04026	4012.726841	4.507029714
58	4529.739494	4102.557378	4082.047185	4.529739494
59	4541.915905	4087.172148	4071.978492	4.541915905
60	4548.970413	4194.43878	4151.08316	4.548970413
61	4563.571868	4227.364004	4041.380171	4.563571868
62	4588.44887	4254.834487	4071.746252	4.58844887
63	4605.864164	4208.975331	4016.910604	4.605864164
64	4621.551052	4241.98132	3982.887941	4.621551052
65	4642.76525	4375.798906	4225.225527	4.64276525
66	4667.710433	4388.366522	4207.948534	4.667710433
67	4679.333666	4426.214448	4245.79646	4.679333666
68	4704.685582	4470.733148	4398.618516	4.704685582
69	4732.073965	4268.192891	4093.853324	4.732073965
70	4750.909618	4305.204577	4157.288621	4.750909618
71	4774.648585	4328.943544	4181.027588	4.774648585
72	4781.498229	4327.433963	4185.530832	4.781498229
73	4807.954382	4410.810098	4338.40696	4.807954382
74	4840.749818	4443.605533	4371.202396	4.840749818
75	4864.892463	4435.829518	4422.81765	4.864892463
76	4879.683845	4465.371133	4348.607001	4.879683845
77	4912.897925	4499.199552	4382.43542	4.912897925
78	4933.982939	4529.642632	4412.924283	4.933982939
79	4965.285244	4511.050837	4351.115103	4.965285244
80	5000.719824	4546.515917	4387.045829	5.000719824
81	5022.457933	4556.227103	4432.543571	5.022457933
82	5046.424588	4660.509341	4536.825809	5.046424588
83	5081.467244	4656.626765	4532.943234	5.081467244
84	5080.916247	4670.337777	4605.061502	5.080916247
85	5111.700554	4671.970478	4601.577602	5.111700554
86	5138.367912	4694.204069	4625.31689	5.138367912
87	5163.32939	4723.377658	4654.490479	5.16332939
88	5188.870826	4790.458651	4757.562472	5.188870826
89	5209.571081	4804.658633	4759.803529	5.209571081
90	5238.387633	4831.661298	4786.806195	5.238387633
91	5272.358864	4836.155183	4764.0593	5.272358864
92	5302.34002	4832.279111	4760.183229	5.30234002
93	5334.863748	4937.14134	4788.459852	5.334863748
94	5354.545221	4968.678453	4827.138159	5.354545221
95	5390.205674	4935.358347	4863.918653	5.390205674
96	5424.044653	4986.7188	4971.805161	5.424044653
97	5452.536311	5017.189817	4999.333607	5.452536311
98	5476.935958	5108.789155	5074.96598	5.476935958
99	5494.010505	5103.427936	5026.670712	5.494010505
100	5513.8745	5134.776079	5038.490022	5.5138745
101	5544.721385	5165.622965	5061.911887	5.544721385
102	5578.632729	5180.54284	5122.771942	5.578632729
103	5608.108576	5223.502453	5160.721032	5.608108576
104	5627.053786	5247.162628	5187.323779	5.627053786
105	5657.236929	5259.925052	5206.210238	5.657236929
106	5688.801295	5274.180191	5220.465377	5.688801295
107	5714.365392	5303.613617	5256.739917	5.714365392
108	5747.795842	5329.035496	5290.951401	5.747795842
109	5781.135343	5362.374997	5324.290901	5.781135343
110	5811.820209	5437.850304	5437.850304	5.811820209
111	5844.403138	5468.359658	5463.131253	5.844403138
112	5879.232544	5515.142064	5449.34157	5.879232544
113	5907.169859	5606.452963	5494.16261	5.907169859
114	5938.150807	5613.044931	5520.75679	5.938150807
115	5967.286644	5631.682239	5520.418179	5.967286644
116	6000.740262	5665.453712	5554.597993	6.000740262
117	6032.576526	5700.572464	5602.792838	6.032576526
118	6065.529947	5741.753953	5547.362208	6.065529947
119	6093.983715	5770.425917	5576.434363	6.093983715
120	6124.895175	5773.614213	5655.829864	6.124895175
121	6154.490462	5888.082506	5738.915991	6.154490462
122	6188.063125	5891.068153	5803.393361	6.188063125
123	6220.044423	5943.107036	5863.932058	6.220044423
124	6256.058744	5992.702929	5901.505506	6.256058744
125	6286.242403	6022.886588	5932.076301	6.286242403
126	6322.01494	6058.964172	5968.153885	6.32201494
127	6354.031394	5970.047211	5949.947507	6.354031394
