Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	13582.08006	13582.08006	13582.08006	13.58208006
2	11200.4052	9656.533826	9656.533826	11.2004052
3	8659.949761	5915.34774	5915.34774	8.659949761
4	7879.784678	6070.740804	5892.895492	7.879784678
5	7049.554362	5697.529296	5519.683984	7.049554362
6	6775.308867	5545.01238	5366.013961	6.775308867
7	6365.909368	5107.660781	5107.660781	6.365909368
8	6027.928797	4840.357263	4839.079043	6.027928797
9	5803.575944	4645.662268	4599.002451	5.803575944
10	5701.175897	4056.527749	4056.527749	5.701175897
11	5567.504774	4521.955529	4456.728581	5.567504774
12	5464.550569	4587.775955	4587.775955	5.464550569
13	5348.383509	4500.842588	4423.406646	5.348383509
14	5287.96988	4559.48269	4552.778573	5.28796988
15	5220.126975	4321.910168	4317.150807	5.220126975
16	5180.692657	3867.984703	3837.862882	5.180692657
17	5162.515368	4027.454361	4025.175834	5.162515368
18	5155.44512	4002.606193	3999.068434	5.15544512
19	5134.787033	4247.940754	4247.940754	5.134787033
20	5065.321768	4062.884866	4062.884866	5.065321768
21	5038.744528	4103.182616	4101.454507	5.038744528
22	4996.820196	4256.97731	4256.388903	4.996820196
23	4918.869283	4184.464055	3933.9883	4.918869283
24	4931.123493	4227.655689	4227.655689	4.931123493
25	4931.670948	4020.59342	4020.59342	4.931670948
26	4923.453672	3605.894256	3605.894256	4.923453672
27	4926.132795	3787.067277	3786.553298	4.926132795
28	4934.260155	3800.609884	3800.095905	4.934260155
29	4908.312006	3910.976976	3910.976976	4.908312006
30	4919.653764	3942.170947	3942.170947	4.919653764
31	4919.858959	3887.920766	3887.920766	4.919858959
32	4910.571676	4001.744379	4001.744379	4.910571676
33	4867.845473	3671.124286	3671.124286	4.867845473
34	4790.329406	3696.744258	3696.744258	4.790329406
35	4793.323469	3617.978395	3617.978395	4.793323469
36	4803.486272	3632.852821	3632.852821	4.803486272
37	4807.510129	3739.481499	3739.481499	4.807510129
38	4820.674412	3763.49984	3763.49984	4.820674412
39	4842.35887	3562.970842	3562.970842	4.84235887
40	4859.923704	3540.408729	3540.408729	4.859923704
41	4883.326213	3627.084018	3627.084018	4.883326213
42	4901.515203	3471.137107	3471.137107	4.901515203
43	4915.242734	3595.623669	3595.623669	4.915242734
44	4925.348641	3706.690552	3706.690552	4.925348641
45	4953.80017	3725.077771	3725.077771	4.95380017
46	4963.010049	3802.367971	3802.367971	4.963010049
47	4976.288121	3752.345659	3752.345659	4.976288121
48	4979.890805	3809.63965	3809.63965	4.979890805
49	5001.188504	3732.657993	3732.657993	5.001188504
50	5024.365635	3770.247757	3770.247757	5.024365635
51	5027.851627	3853.19022	3853.19022	5.027851627
52	5052.153989	3911.715776	3911.715776	5.052153989
53	5061.514564	4095.592921	4095.592921	5.061514564
54	5086.537079	4221.868308	4221.868308	5.086537079
