Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	14304.8064	14304.8064	14304.8064	14.3048064
2	11368.00626	10170.14802	10170.14802	11.36800626
3	8286.946594	6087.273347	6087.273347	8.286946594
4	7559.286663	5972.670508	5871.395985	7.559286663
5	6892.566799	5777.15742	5618.501254	6.892566799
6	6686.18386	5295.886589	5124.04402	6.68618386
7	6485.710922	4924.654998	4778.590378	6.485710922
8	6169.972191	4778.98796	4632.92334	6.169972191
9	6136.164347	4844.979969	4842.189271	6.136164347
10	6042.517735	4726.975149	4725.62717	6.042517735
11	5916.619765	4277.273264	3849.741277	5.916619765
12	5917.263005	4436.318363	4380.494932	5.917263005
13	5893.63062	4442.591981	4386.76855	5.89363062
14	5827.116038	3838.502287	3838.502287	5.827116038
15	5754.626271	4120.937904	4119.71919	5.754626271
16	5725.728903	4108.484659	4108.484659	5.725728903
17	5598.025583	3989.938071	3788.862412	5.598025583
18	5577.261696	4042.276404	4042.276404	5.577261696
19	5557.380042	4034.244354	3632.531865	5.557380042
20	5477.665141	3797.259945	3746.282382	5.477665141
21	5443.755735	3335.526151	3335.526151	5.443755735
22	5445.440492	3418.635856	3418.635856	5.445440492
23	5382.576627	3556.15973	3556.15973	5.382576627
24	5312.272231	3801.715842	3801.715842	5.312272231
25	5328.758993	3523.590328	3494.895642	5.328758993
26	5329.032334	3664.41469	3661.882429	5.329032334
27	5314.090585	3749.239502	3733.556124	5.314090585
28	5297.05406	3864.745985	3862.245084	5.29705406
29	5285.27357	3496.113001	3496.113001	5.28527357
30	5257.903155	3502.94278	3457.341781	5.257903155
31	5262.13965	4088.20166	3789.500314	5.26213965
32	5256.573565	3760.54469	3747.097731	5.256573565
33	5257.30312	3670.140439	3656.69348	5.25730312
34	5225.457962	3934.623796	3875.245756	5.225457962
35	5240.091106	3981.590776	3922.212736	5.240091106
36	5255.332149	3812.004665	3749.48876	5.255332149
37	5244.042532	3777.459724	3777.459724	5.244042532
38	5258.685406	3708.296082	3689.415521	5.258685406
39	5259.462566	3769.479196	3502.113575	5.259462566
40	5270.861308	3565.672217	3530.037333	5.270861308
41	5270.696572	3517.565179	3517.565179	5.270696572
42	5249.884231	3799.916941	3799.916941	5.249884231
43	5269.75296	3901.593406	3889.632823	5.26975296
44	5275.130018	3746.271563	3707.706224	5.275130018
45	5291.956852	3719.894388	3704.700974	5.291956852
46	5277.945793	3773.873853	3773.873853	5.277945793
47	5282.007334	3893.171951	3893.171951	5.282007334
48	5300.32986	3887.325368	3856.771507	5.30032986
49	5316.871252	3924.152436	3894.429215	5.316871252
50	5322.687816	4005.308288	4005.308288	5.322687816
51	5331.826064	3858.068739	3731.761124	5.331826064
52	5349.721855	4147.822413	4067.96178	5.349721855
53	5375.194585	4073.926002	4011.846432	5.375194585
54	5384.414066	4146.981408	4055.790954	5.384414066
55	5400.838938	4111.623392	4111.623392	5.400838938
56	5405.844929	3926.013129	3926.013129	5.405844929
57	5425.464474	4014.837405	3839.336345	5.425464474
58	5440.101184	3903.356036	3859.866381	5.440101184
59	5464.39813	3897.362457	3894.32156	5.46439813
60	5482.99441	4070.282214	3994.269252	5.48299441
61	5485.917167	4273.462953	4212.417352	5.485917167
62	5495.164665	4260.62131	4199.575708	5.495164665
63	5506.125404	4360.074716	4299.029114	5.506125404
64	5533.914537	4469.500317	4469.500317	5.533914537
65	5548.571016	4578.780176	4578.780176	5.548571016
66	5577.496422	4593.097693	4593.097693	5.577496422
67	5580.284179	4565.015855	4554.741916	5.580284179
68	5602.370086	4699.394349	4567.264843	5.602370086
69	5588.454028	4690.045259	4394.666227	5.588454028
70	5599.298169	4566.8232	4439.655398	5.599298169
71	5625.800946	4595.803272	4479.038856	5.625800946
72	5658.834385	4634.294842	4585.84644	5.658834385
73	5674.232687	4400.175422	4398.203576	5.674232687
74	5698.20771	4380.008898	4301.331742	5.69820771
75	5721.770023	4746.058988	4676.496598	5.721770023
76	5733.16637	4671.011291	4588.468161	5.73316637
77	5744.9785	4521.667996	4517.93195	5.7449785
78	5768.066261	4634.388676	4630.70003	5.768066261
79	5800.518606	4702.22244	4702.22244	5.800518606
80	5822.851609	4626.348215	4600.31342	5.822851609
81	5852.091822	4780.336371	4757.793928	5.852091822
82	5865.128619	4938.299971	4934.924319	5.865128619
83	5895.163497	5176.088467	5151.946456	5.895163497
84	5928.115515	5209.157384	5185.015373	5.928115515
85	5959.731561	5156.223159	5119.912268	5.959731561
86	5981.446568	5170.671692	5134.3608	5.981446568
87	5969.753106	5304.501033	5280.359022	5.969753106
88	5995.665081	5292.05586	5267.913849	5.995665081
89	6020.772712	5296.416065	5296.416065	6.020772712
90	6056.026782	5331.677854	5331.677854	6.056026782
91	6078.153233	5353.668351	5107.954974	6.078153233
92	6084.534913	5397.176058	5131.230865	6.084534913
93	6112.4793	5415.643413	5202.472636	6.1124793
94	6133.320669	5124.575486	5093.555382	6.133320669
95	6153.901446	5367.31568	5367.31568	6.153901446
96	6175.194695	5568.749016	5568.749016	6.175194695
97	6208.47536	5489.435984	5453.340058	6.20847536
98	6240.107277	5698.702982	5698.702982	6.240107277
99	6267.118787	5667.284582	5667.284582	6.267118787
100	6297.803801	5715.882377	5709.972912	6.297803801
101	6324.539988	5654.208404	5600.734981	6.324539988
102	6329.901494	5637.20268	5583.729258	6.329901494
103	6350.010515	5691.940797	5675.890385	6.350010515
104	6372.382106	5760.070285	5759.485797	6.372382106
105	6393.472978	5733.954483	5733.954483	6.393472978
106	6428.634395	5638.538683	5617.476924	6.428634395
107	6451.340807	5572.866116	5530.561446	6.451340807
108	6477.19107	5616.482626	5492.973801	6.47719107
109	6507.934775	5922.276724	5608.69639	6.507934775
110	6537.997398	5727.814346	5727.814346	6.537997398
111	6568.624802	5947.217204	5946.567647	6.568624802
112	6599.485683	5999.762133	5965.127855	6.599485683
113	6635.126955	6035.403405	6000.769127	6.635126955
114	6661.505425	6042.897057	6042.897057	6.661505425
115	6687.370965	6093.508951	6093.508951	6.687370965
116	6719.681081	6098.356974	6098.04656	6.719681081
117	6744.14901	6065.483538	6018.828126	6.74414901
118	6779.524978	6154.631565	6039.422355	6.779524978
119	6809.790762	6160.377432	6045.168222	6.809790762
120	6841.091725	6374.775847	6229.771093	6.841091725
121	6871.227027	6264.529768	6178.513087	6.871227027
122	6901.738816	6277.493236	6251.709145	6.901738816
123	6929.829343	6267.10347	6233.030658	6.929829343
124	6949.121573	6277.888966	6252.46233	6.949121573
125	6977.357595	6286.703537	6259.598208	6.977357595
126	6992.026288	6406.44918	6390.574161	6.992026288
127	7024.919904	6452.990934	6437.115915	7.024919904
128	7057.103767	6507.266338	6507.266338	7.057103767
129	7081.16241	6573.703006	6573.703006	7.08116241
130	7106.869604	6539.944189	6539.944189	7.106869604
131	7132.228271	6569.960957	6569.960957	7.132228271
132	7162.519371	6638.37439	6638.37439	7.162519371
133	7189.490129	6711.077228	6692.165414	7.189490129
134	7207.76492	6662.12571	6632.082447	7.20776492
135	7239.296712	6679.048564	6643.773108	7.239296712
136	7264.944918	6773.352974	6663.578409	7.264944918
137	7295.387936	6858.9526	6762.091738	7.295387936
138	7321.69009	6962.508117	6750.144057	7.32169009
139	7357.045709	6833.433136	6751.6632	7.357045709
140	7391.360588	6817.702715	6731.590429	7.391360588
141	7415.297179	6842.394903	6749.75726	7.415297179
142	7449.775212	6825.47315	6777.777657	7.449775212
143	7479.095005	6854.29124	6819.472165	7.479095005
144	7512.946561	6875.556758	6840.737684	7.512946561
145	7540.648395	6907.735103	6872.916029	7.540648395
146	7570.755409	6965.241356	6930.422281	7.570755409
147	7602.686344	6973.405248	6938.586174	7.602686344
148	7635.587212	7006.698864	6972.562147	7.635587212
149	7670.379789	7047.453265	6985.509781	7.670379789
150	7704.989289	7121.635439	7074.064492	7.704989289
151	7732.256087	7194.338548	7089.581194	7.732256087
152	7766.440911	7399.183067	7109.411746	7.766440911
153	7799.3608	7221.262807	7152.974666	7.7993608
154	7828.47695	7217.103093	7180.891186	7.82847695
155	7863.994125	7233.638165	7197.426257	7.863994125
156	7894.263054	7277.702972	7241.491064	7.894263054
157	7925.71191	7380.003979	7343.792072	7.92571191
158	7959.740284	7422.791152	7388.378542	7.959740284
159	7995.523678	7457.926506	7423.513896	7.995523678
160	8031.486379	7495.548775	7470.712261	8.031486379
161	8059.625536	7572.327774	7555.585382	8.059625536
162	8090.938028	7639.496502	7619.105705	8.090938028
163	8118.592294	7621.366922	7599.932044	8.118592294
164	8149.183012	7650.956953	7613.508344	8.149183012
165	8181.447452	7685.167394	7663.983228	8.181447452
166	8210.530915	7711.484082	7690.299917	8.210530915
167	8242.478876	7759.697244	7739.55716	8.242478876
168	8275.601298	7775.913925	7754.885206	8.275601298
169	8311.764526	7843.334493	7790.23842	8.311764526
170	8346.182838	7885.740394	7885.218623	8.346182838
171	8380.761886	7896.542012	7896.49749	8.380761886
172	8416.351924	7938.055139	7938.010617	8.416351924
173	8445.397972	7944.491843	7940.750556	8.445397972
174	8474.926999	7972.649046	7972.604523	8.474926999
175	8509.081681	8027.96944	8019.941458	8.509081681
176	8544.15332	8068.380061	8060.352079	8.54415332
177	8578.242289	8084.88953	8073.887078	8.578242289
178	8603.332324	8106.619305	8095.616854	8.603332324
179	8623.928449	8090.18372	8084.460493	8.623928449
180	8660.008125	8144.555083	8136.527101	8.660008125
181	8687.360388	8190.689881	8182.661899	8.687360388
182	8715.885539	8230.586605	8213.579789	8.715885539
183	8751.137167	8273.602756	8264.5794	8.751137167
184	8781.344606	8309.911567	8300.888211	8.781344606
185	8813.017345	8362.408651	8353.429817	8.813017345
186	8846.112358	8399.156457	8390.177624	8.846112358
187	8882.427103	8435.471203	8426.492369	8.882427103
188	8910.105831	8474.369973	8465.391139	8.910105831
189	8945.152156	8538.123836	8508.86651	8.945152156
190	8977.934356	8585.679394	8556.422067	8.977934356
191	9014.129553	8652.344136	8611.610251	9.014129553
192	9048.310448	8686.006416	8646.595188	9.048310448
193	9084.789142	8719.090141	8679.678913	9.084789142
194	9108.097882	8719.030519	8711.374343	9.108097882
195	9140.122812	8727.498453	8727.498453	9.140122812
196	9176.543458	8767.712771	8767.712771	9.176543458
197	9201.64078	8787.078904	8787.078904	9.20164078
198	9237.057047	8823.744385	8823.744385	9.237057047
199	9271.175663	8861.933481	8861.933481	9.271175663
200	9306.038982	8902.860103	8902.860103	9.306038982
