Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	27785.95992	27785.95992	27785.95992	27.78595992
2	20325.27628	18699.56775	18699.56775	20.32527628
3	13090.19225	9761.24667	9761.24667	13.09019225
4	11177.43299	8839.80444	8839.80444	11.17743299
5	9093.946624	7840.077448	7840.077448	9.093946624
6	8693.55479	7416.832515	7416.832515	8.69355479
7	8379.887774	7071.882429	7071.882429	8.379887774
8	7967.142628	6829.319489	6829.319489	7.967142628
9	7565.116534	6668.179913	6668.179913	7.565116534
10	7476.735889	6552.505928	6552.505928	7.476735889
11	7379.627221	6388.536598	6388.536598	7.379627221
12	7219.067134	6318.915995	6318.915995	7.219067134
13	7065.578808	6179.388	6179.388	7.065578808
14	7004.945319	6115.794374	6115.794374	7.004945319
15	6962.174288	6054.77837	6054.77837	6.962174288
16	6924.335074	6030.690481	6030.690481	6.924335074
17	6896.347396	6028.437425	6028.437425	6.896347396
18	6849.976443	5988.762233	5988.762233	6.849976443
19	6821.16051	5963.980662	5963.980662	6.82116051
20	6789.405019	5948.893011	5948.893011	6.789405019
21	6778.985911	5981.551962	5981.551962	6.778985911
22	6743.436798	5976.956123	5976.956123	6.743436798
23	6734.063322	5953.300936	5953.300936	6.734063322
24	6724.705575	5974.880829	5974.880829	6.724705575
25	6717.269655	5976.528761	5976.528761	6.717269655
26	6727.995147	5995.704969	5995.704969	6.727995147
27	6718.872208	5999.875715	5999.875715	6.718872208
28	6727.892909	5993.324233	5993.324233	6.727892909
29	6693.624316	6010.070604	6010.070604	6.693624316
30	6702.039069	6047.065208	6047.065208	6.702039069
31	6698.150885	6056.132825	6056.132825	6.698150885
32	6710.998883	6082.349709	6082.349709	6.710998883
33	6717.712722	6101.966651	6101.966651	6.717712722
34	6739.029698	6121.599825	6121.599825	6.739029698
35	6750.363989	6150.939937	6150.939937	6.750363989
36	6758.20705	6183.030001	6183.030001	6.75820705
37	6779.999368	6187.842018	6187.842018	6.779999368
38	6804.5904	6214.102563	6214.102563	6.8045904
39	6828.102983	6266.412473	6266.412473	6.828102983
40	6845.12421	6289.556909	6289.556909	6.84512421
41	6872.886992	6320.995617	6320.995617	6.872886992
42	6900.539511	6338.33955	6338.33955	6.900539511
43	6923.132033	6333.060867	6333.060867	6.923132033
44	6934.647166	6330.886006	6330.886006	6.934647166
45	6951.834024	6350.460109	6350.460109	6.951834024
46	6964.928935	6365.971983	6365.971983	6.964928935
47	6995.441541	6412.078508	6412.078508	6.995441541
48	7018.702137	6439.674082	6439.674082	7.018702137
49	7048.883341	6482.320935	6482.320935	7.048883341
50	7070.555025	6506.14656	6506.14656	7.070555025
51	7097.595248	6552.86705	6552.86705	7.097595248
52	7124.956033	6606.300816	6606.300816	7.124956033
53	7158.49498	6629.602979	6629.602979	7.15849498
54	7194.718989	6658.809058	6658.809058	7.194718989
55	7210.320812	6690.256499	6690.256499	7.210320812
56	7252.373679	6728.200946	6728.200946	7.252373679
57	7277.882179	6752.588799	6752.588799	7.277882179
58	7300.692046	6770.535587	6770.535587	7.300692046
59	7323.302565	6817.32981	6817.32981	7.323302565
60	7351.801353	6863.185788	6863.185788	7.351801353
61	7379.280273	6917.640805	6917.640805	7.379280273
62	7403.669977	6967.098956	6967.098956	7.403669977
63	7439.034747	6994.749112	6994.749112	7.439034747
64	7469.366384	7023.273453	7023.273453	7.469366384
65	7509.398967	7057.365243	7057.365243	7.509398967
66	7535.441285	7113.433273	7113.433273	7.535441285
67	7561.314724	7153.744118	7153.744118	7.561314724
