Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	25616.85368	25616.85368	25616.85368	25.61685368
2	20029.40207	18514.67555	18513.76748	20.02940207
3	14423.15871	10847.35169	10846.44362	14.42315871
4	13659.99686	10161.14873	10152.90223	13.65999686
5	12070.83712	9419.837613	9403.231575	12.07083712
6	11870.395	9197.223302	9161.459598	11.870395
7	11600.47464	9028.146134	8994.44731	11.60047464
8	11318.02722	8911.379004	8843.127809	11.31802722
9	11221.15394	8868.47088	8810.676757	11.22115394
10	11124.55341	8772.223027	8728.744014	11.12455341
11	11042.85132	8680.031479	8591.961878	11.04285132
12	11019.55929	8654.640148	8601.424571	11.01955929
13	10949.93038	8548.054723	8523.03847	10.94993038
14	10938.4848	8571.694912	8474.994463	10.9384848
15	10856.66671	8536.407629	8467.873391	10.85666671
16	10822.67995	8569.919826	8434.67254	10.82267995
17	10818.43672	8568.821267	8425.383178	10.81843672
18	10800.93655	8590.348735	8457.717634	10.80093655
19	10755.41745	8569.999242	8430.553931	10.75541745
20	10774.85337	8529.912951	8413.774894	10.77485337
21	10783.04161	8520.787375	8472.995612	10.78304161
22	10743.33749	8493.601496	8466.565737	10.74333749
23	10757.06344	8495.960093	8485.099809	10.75706344
24	10719.05567	8488.935756	8454.146042	10.71905567
25	10711.54783	8544.045571	8422.381783	10.71154783
26	10734.44697	8589.140082	8446.078343	10.73444697
27	10750.53412	8587.965548	8436.027247	10.75053412
28	10777.34937	8622.78132	8510.623943	10.77734937
29	10758.36936	8611.510994	8527.664435	10.75836936
30	10760.42355	8557.823861	8529.415528	10.76042355
31	10778.56527	8589.698009	8555.419342	10.77856527
32	10821.77998	8597.307805	8554.757472	10.82177998
33	10840.64914	8747.166325	8562.632972	10.84064914
34	10878.6667	8786.153639	8573.639063	10.8786667
35	10898.39727	8792.208682	8606.639062	10.89839727
36	10905.57894	8827.931275	8589.543842	10.90557894
37	10898.23992	8710.416295	8642.024553	10.89823992
38	10935.1561	8749.193951	8685.494484	10.9351561
39	10944.3254	8800.396384	8738.678661	10.9443254
40	10976.85568	8938.829573	8769.368567	10.97685568
41	10996.90449	8933.606891	8723.671372	10.99690449
