iter	d2	d5	d10	d15	d20	d25
28	4.917032828	6.429655511	7.373930721	10.20069837	11.16539186	11.16406446
29	4.923803532	6.430912803	7.375247536	10.24596854	10.87746401	10.97833254
30	4.909374629	6.438463837	7.399263392	10.29902416	11.14309797	10.54081358
31	4.908196163	6.440314137	7.173333609	10.15718362	12.04484035	10.15945312
32	2.890895407	6.371010802	7.916947096	9.619794851	12.04465707	10.24646251
33	2.891215137	6.334747192	7.248621703	9.888008094	11.85981119	9.97099608
34	2.737259411	6.406018979	7.234071939	10.43556528	11.77073456	9.87003777
35	2.753545923	6.360181193	7.235969813	10.72786712	11.86783006	9.917571245
36	2.750422914	6.363998122	7.37899032	11.3037296	11.5332862	10.15594456
37	2.749347211	6.526267487	7.452028109	11.89485706	11.44117843	10.08470582
38	2.724411418	6.447715953	8.001572593	11.19238462	11.20134797	10.07008753
39	2.655300963	6.44781664	7.736825359	11.45749935	11.10029057	12.79180726
40	2.641775994	6.29496447	7.729681785	11.18422654	10.32245607	12.74281937
41	2.652201567	6.416158636	7.728117691	11.14872928	10.54369628	12.56181183
42	2.651648086	6.523139413	7.678053423	10.95071545	9.777883597	11.92363573
43	2.6520484	6.515919385	7.669678019	11.03315462	11.09902934	12.31281627
44	2.650575994	6.537453349	7.647063293	11.15382481	11.39532422	12.28229737
45	2.652373754	6.626742191	7.607564446	11.09905664	11.39602991	12.39920052
46	2.661031631	6.626523144	7.536176897	11.09834645	11.20801187	12.7162841
47	2.679313414	6.343526911	7.671452568	11.67712089	10.99207185	11.70743554
48	2.684390138	6.306977663	7.65441374	11.94076341	9.790786858	12.17004507
49	2.683271977	6.289175425	7.651838629	11.97445949	9.220386133	12.23743689
50	2.683293154	6.274560235	7.73307237	12.07173142	11.31501057	12.34939872
51	2.688299481	6.300956492	7.97318643	12.12266603	10.38783095	12.26051018
52	2.688297679	6.267154941	8.078376796	12.10240851	11.70633807	12.66482982
53	2.887825703	6.327806744	7.990204747	11.99212488	11.85132679	13.12398145
54	2.890790122	6.320353577	7.979490261	12.55003281	11.38171823	12.7080752
55	2.896192682	6.293339623	7.695800497	12.50340566	11.5487493	13.08456666
56	2.898040355	6.246749119	7.694882127	12.58021401	11.48734215	13.49501816
57	2.963867256	6.224656085	7.542641619	12.57349007	11.18219	13.56190623
58	2.96027361	6.049707368	7.45937034	12.68451718	11.1815553	12.67822254
59	2.960005488	6.055294212	7.478644623	13.35618179	11.2451522	13.58172537
60	2.959062633	6.019077232	7.479900463	13.31054014	11.25375918	13.30472248
61	2.958316865	5.811076789	7.549849377	12.84510303	9.847896362	13.649424
62	2.95745163	5.834941066	7.624281922	12.54566288	10.00454505	15.5575439
63	2.955530241	5.857462501	7.867045704	12.80469263	9.935123353	15.62236856
64	2.969782136	5.730368832	7.886565329	12.60834208	9.912795552	14.0892289
65	2.866730142	5.730333213	7.659714497	12.67752635	9.778816478	14.05899131
66	2.896948951	5.760655641	7.725623353	11.96751049	9.697613114	16.34959352
67	2.901309442	5.836332331	7.735391565	11.9137169	10.54168027	16.08962859
68	3.042526742	5.845813403	7.734315637	11.75763822	10.55203755	16.39319831
69	3.040656529	5.960253489	7.558002478	10.89753393	10.45404293	16.53656627
70	3.041833935	5.976932337	7.703430785	10.90394561	10.12440128	16.70325037
71	2.923542461	5.960958699	7.73309502	10.90434031	10.84119768	15.11178508
72	2.921091026	5.822027996	7.754798713	12.47574106	10.32544275	15.23707911
73	2.915547987	5.845882384	7.80373686	12.20175332	10.37857414	15.23567256
74	2.918321487	5.857093944	7.832722621	13.24634442	10.53371639	15.17706798
75	2.922794449	5.875710722	7.88050332	13.22007251	10.10619277	15.23361372
76	2.999156561	5.87939539	7.903293664	12.27594558	10.6948394	16.70464942
77	3.003337447	5.868444552	7.519046829	12.11216031	10.61472444	15.78104845
78	3.082202642	5.697148659	7.51726831	12.92608374	10.11904871	14.40450221
79	3.082623887	5.702345656	7.503321249	12.99715956	10.11469938	14.75902077
80	3.082804591	5.743615218	7.399893398	12.62446624	10.13974192	14.72133169
81	3.078120978	6.148515542	7.295320869	13.9123027	10.27779085	14.69660823
82	3.077927538	5.644070266	8.015143815	13.32786263	10.31986338	14.14430478
83	3.075855463	6.157367094	8.007872779	13.32645588	11.46140489	14.24793094
84	3.103894496	6.160170387	8.091211723	13.50453534	11.40724964	14.67505538
85	3.095834387	6.134935806	8.088107003	13.8122674	11.41570551	14.67649477
86	3.097505318	6.176448779	8.073417176	13.57240618	12.14712044	15.50605297
87	3.147289118	6.175956634	8.063585697	13.56219939	12.69267492	15.45303355
88	3.151705576	6.223425333	8.332784705	13.61894387	12.68327905	16.35490766
89	3.189373782	6.151327565	8.297053106	13.13020224	13.18467265	16.76660755
90	3.188705032	6.163834522	8.43332384	13.19592993	15.96222531	17.41628194
91	3.188661359	5.971744654	8.407454548	13.21775188	15.96485752	17.22288184
92	3.198088418	6.051485693	8.433422789	12.75223005	16.45976514	17.22934415
93	3.199380873	5.522647287	8.332293849	12.51309542	16.62027987	17.18182821
94	3.151635645	5.516719064	8.210285263	12.49065878	15.57456261	17.18117598
95	3.149629217	6.010434316	8.192786076	12.49491479	15.71192101	17.189888
96	3.135046834	5.967871278	8.160673945	12.78899107	15.49978306	17.93926578
97	3.152485063	5.970242521	8.134156918	12.25929669	15.50287807	18.09355686
98	3.15233738	5.865213919	8.16209181	12.31018768	15.45703542	18.24265876
99	3.152869851	5.860409296	7.941011765	12.59822413	14.75432297	18.44183534
100	3.05794508	5.891816285	8.146542173	12.57257283	14.60467728	17.81472196
101	3.055026399	5.878370655	8.109011154	12.58074682	14.58338076	17.7516378
102	3.054995097	5.872216978	8.022509936	12.4621299	15.50126964	18.41215459
103	3.05543306	5.769591572	7.9631145	12.62267283	15.50747042	18.63120937
104	3.056197258	5.754385372	7.965418669	12.58274894	15.51352563	18.69573403
105	3.058409544	5.742658196	8.217656341	11.69317148	16.1463133	18.60561628
106	3.061319124	5.805623472	8.0772788	11.95559038	16.39925629	18.69757132
107	3.061409991	5.806935005	8.124912148	11.94076507	15.83291181	17.40692869
108	3.060925129	5.772743538	8.232124218	11.13150048	15.45036734	17.83499725
109	3.062165816	5.784184886	8.21610584	11.15777213	15.42416561	17.76437391
110	3.064145255	5.801288901	8.212631488	10.82741228	15.90785651	19.2317075
111	3.063727498	5.773852345	8.853733415	11.12364577	15.95237239	19.0569063
112	3.062906749	5.746012937	8.864927897	11.27767136	15.93042171	19.24315348
113	3.063019745	5.72692585	8.806924949	11.11910761	15.41922534	19.20847597
114	3.059987225	5.731109234	8.213609117	11.21781492	15.41977928	19.22587278
115	3.061673463	5.731008286	8.23147472	11.06504334	12.21783973	19.15075352
116	3.062106699	5.804684254	8.784594144	10.54307757	12.32762091	19.17011305
117	3.066988786	5.877312257	8.7944461	10.78489444	15.13233657	19.44360099
118	3.067503029	5.872651739	8.591475047	10.82729653	12.10686563	19.59212291
119	3.059332616	5.975882373	8.547340758	10.38271038	12.11724056	17.41195283
120	3.062298156	5.975930123	8.529655893	10.48204774	11.78386847	16.98846787
121	3.062733324	5.914236402	8.287498077	10.58135875	12.59695457	18.32324117
122	3.063629341	5.597844738	8.293664017	10.30412097	12.71447649	18.23852074
123	3.076944721	5.718473142	8.27794975	10.87204678	13.09598322	18.48322166
124	3.078803987	5.713547438	8.280249466	12.39964394	12.92787723	20.21153279
125	3.022428355	5.70373581	8.34858838	10.85324178	15.73690381	20.435683
126	3.045680814	5.693723507	8.361418067	12.63052748	15.81057905	20.06719911
127	3.038572428	5.6833148	8.383183357	11.05701692	15.81043167	20.18842914
128	3.04371051	5.670425061	8.440608822	10.89425535	15.46398262	20.05632775
129	3.037507782	5.682329326	8.513201237	11.22623404	15.46535136	20.07417675
130	3.027454194	5.67377986	8.312631943	12.18975343	14.51564097	19.51072825
131	3.02740154	5.76842819	8.187416006	12.2121912	12.31384166	19.81358823
132	3.028545382	5.825603242	8.293593167	12.22151785	12.73218269	19.62250384
133	3.027751196	5.814728398	8.189963707	10.54225515	12.73163306	18.22104695
134	3.030096335	5.756109542	8.28036268	10.48588424	12.73628998	16.98313256
135	3.012509067	5.721913702	8.272582591	10.1985884	12.7660766	17.32982224
136	3.012190651	5.72733862	8.21669844	10.64715343	13.10861081	17.50365071
137	3.008721595	5.928671285	8.338465503	10.65247613	12.91494913	16.83416611
138	3.00803061	5.912535984	8.341060664	10.68549752	13.15716588	16.84697662
139	3.009030957	5.960063509	8.322096101	10.59601708	13.16217063	17.09241447
140	3.008211331	5.958080566	8.329470258	10.59093082	13.19193517	16.87807325
141	2.937438805	5.846970527	8.378010513	10.57281246	13.52086246	16.88895315
142	2.933950256	5.746595596	9.134274119	10.54357214	13.33017211	20.02575091
143	2.933566915	5.751943246	9.283847019	10.53778286	12.83490623	18.92464435
144	3.205609202	5.720404637	12.41677749	11.86268718	12.57560021	18.85254555
145	3.194844009	5.718902123	11.79946315	10.12237225	12.49013533	18.5080914
146	3.191878773	5.690993897	12.46756457	11.91409814	12.17493953	18.55592851
147	3.196693781	5.680594327	9.127055237	11.84048049	12.16607831	21.54396809
148	3.196192781	5.765203207	9.139751833	11.84090172	12.35680258	18.73577928
149	3.240791615	5.76222871	12.39706473	11.86998927	12.58657973	21.77227961
150	3.240910592	5.762517382	9.166975452	11.88501476	13.2910453	21.70829402
151	3.242497549	6.043671315	9.116259008	11.88005035	13.32078257	20.6406901
152	3.242115258	5.989686718	9.165348256	11.81486253	14.09847789	20.63556068
153	3.238579115	6.000402891	9.229106773	12.2648074	13.90032253	20.2186269
154	3.238288046	5.999027335	9.208944433	12.28065355	13.21081864	18.40041655
155	3.2383897	6.003523595	9.192353345	12.53579956	14.53978054	18.39536297
156	3.238546808	6.155500632	9.103052264	12.53501398	14.71441296	18.38172321
157	3.233777898	6.19092642	9.099720249	12.51050112	14.55863219	20.89127646
158	3.228526289	6.158821313	9.099860454	12.57286643	14.54800533	20.12741138
159	3.229485671	6.149282848	9.17681632	12.57768841	14.75415571	20.42689209
160	3.222665628	6.150323654	9.176451145	12.57942256	14.73008358	21.63790584
161	3.235304342	6.208713034	9.500477957	12.59564298	15.11958668	20.79572365
162	3.23503768	6.208818685	9.515052473	12.65747337	15.12222076	18.81302288
163	3.240192275	6.331989094	9.480503803	12.52007529	15.10228352	20.10648661
164	3.240038308	6.326900537	9.364689788	12.68424412	15.26789947	20.00998002
165	3.23984204	6.328627118	9.357016406	12.64467827	15.15934165	20.0328185
166	3.239598089	6.387873722	9.501338734	12.63663769	15.23729893	20.20953072
167	3.238988311	6.446653155	9.504635248	13.04583515	14.4273409	20.14285624
168	3.239022497	6.447779926	9.434197281	13.08870508	14.4731845	20.40500264
169	3.244713677	6.492037178	9.447406817	12.96365276	14.30334673	20.52503271
170	3.245352612	6.491217996	9.502379095	13.05075963	16.71771578	20.50065318
171	3.256373618	5.858532409	9.473948866	13.10530329	16.78347259	19.1197871
172	3.256525122	6.343623593	9.207527597	12.98902823	17.3417034	19.15552198
173	3.256285805	6.437749389	9.226952781	12.97514849	17.25295196	20.50246539
174	3.20902473	5.872957485	9.230535516	12.77135938	17.423129	20.25346505
175	3.209046578	5.899529328	9.354663772	12.90159609	17.2618063	19.11697318
176	3.220818873	5.79254918	9.344518514	12.92855295	17.25914572	20.3186178
177	3.182781545	5.792545124	9.595943413	12.74550553	14.41848353	19.40215617
178	3.190130204	5.848916727	9.621877721	12.8134833	16.69953815	20.34306855
179	3.187754748	5.84923182	9.66179013	12.82543192	16.70165014	20.68135784
180	3.186780685	5.832183992	9.654951981	12.84044233	14.59126727	20.74076355
181	3.248476558	5.817812088	9.653057658	13.0713713	14.62687737	20.8066183
182	3.249508418	5.869859257	9.562370601	13.06288555	14.63450164	19.72236708
183	3.25138766	5.883698661	9.560665305	13.03413558	14.63754591	19.77572945
184	3.24980646	5.923306369	9.68122642	13.12657665	14.69446248	20.20464523
185	3.250402487	5.901589056	9.624865768	13.20433176	14.7225519	20.1490589
186	3.253505601	5.86573418	9.60046674	13.31259961	14.75584437	20.16579027
187	3.249948921	5.842719283	9.579847717	13.45110941	13.99576357	20.16811572
188	3.245248914	5.837375494	9.574064608	13.42872852	13.63706022	20.16936958
189	3.245393742	5.798209397	9.251618536	13.37780269	13.80047424	20.21758679
190	3.249289581	5.817491975	9.290679978	13.27085986	13.80054221	20.27440855
191	3.248410417	5.81401185	9.291016138	13.27137971	13.54199032	20.23939594
192	3.244665002	5.820089253	9.45383699	13.23058137	13.58258809	20.11520826
193	3.244639905	5.964041762	9.264673582	13.42413929	13.5881525	20.11618498
194	3.244383434	5.967441313	9.313146286	13.3045935	13.66150529	20.06680874
195	3.241948922	5.989605553	8.772848595	13.45157728	13.96884313	20.09422147
196	3.236557319	5.964524829	8.764725986	13.73558196	13.98413399	19.43207226
197	3.244662226	5.899024288	8.764942114	13.61121872	13.51851509	19.80944926
198	3.246789234	5.86422233	8.798044712	13.86771149	13.44149168	19.76435372
199	3.250725902	5.850422209	8.797620696	14.01001843	13.54670838	19.77114004
200	3.250725902	5.850422209	8.797620696	14.01001843	13.54670838	19.77114004
